SERIES_1_3	 "Imoncont"	  ""	 07-Jan-2019	 17:17:48.796
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.6448p	  8.1015p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
133	62327,000000000000000	-118,269999999999996	-602,000000000000000	0,000000000483730	10,000000000000000	20,672999999999998
134	62327,000000000000000	-122,529999999999987	-601,559999999999945	0,000000000479040	10,000000000000000	20,875000000000000
135	62327,000000000000000	-125,150000000000006	-607,500000000000000	0,000000000482350	10,000000000000000	20,731999999999999
136	62328,000000000000000	-119,519999999999996	-595,379999999999995	0,000000000475860	10,000000000000000	21,015000000000001
137	62328,000000000000000	-129,770000000000010	-614,750000000000000	0,000000000484980	10,000000000000000	20,619000000000000
138	62329,000000000000000	-126,250000000000000	-609,529999999999973	0,000000000483280	10,000000000000000	20,692000000000000
139	62329,000000000000000	-126,620000000000005	-608,779999999999973	0,000000000482160	10,000000000000000	20,739999999999998
140	62330,000000000000000	-132,530000000000001	-609,779999999999973	0,000000000477250	10,000000000000000	20,952999999999999
141	62330,000000000000000	-122,510000000000005	-603,340000000000032	0,000000000480830	10,000000000000000	20,797000000000001
142	62330,000000000000000	-126,120000000000005	-620,840000000000032	0,000000000494730	10,000000000000000	20,213000000000001
143	62331,000000000000000	-129,610000000000014	-614,529999999999973	0,000000000484920	10,000000000000000	20,622000000000000
144	62331,000000000000000	-128,110000000000014	-623,279999999999973	0,000000000495170	10,000000000000000	20,195000000000000
145	62332,000000000000000	-127,890000000000015	-633,090000000000032	0,000000000505200	10,000000000000000	19,794000000000000
146	62332,000000000000000	-125,739999999999995	-613,720000000000027	0,000000000487980	10,000000000000000	20,492999999999999
147	62333,000000000000000	-125,370000000000005	-626,440000000000055	0,000000000501070	10,000000000000000	19,957000000000001
148	62333,000000000000000	-131,629999999999995	-600,590000000000032	0,000000000468970	10,000000000000000	21,323000000000000
149	62334,000000000000000	-129,400000000000006	-617,090000000000032	0,000000000487690	10,000000000000000	20,504999999999999
150	62334,000000000000000	-129,270000000000010	-610,440000000000055	0,000000000481170	10,000000000000000	20,783000000000001
151	62334,000000000000000	-128,580000000000013	-614,659999999999968	0,000000000486080	10,000000000000000	20,573000000000000
152	62335,000000000000000	-128,419999999999987	-605,659999999999968	0,000000000477240	10,000000000000000	20,954000000000001
153	62335,000000000000000	-128,620000000000005	-619,720000000000027	0,000000000491100	10,000000000000000	20,361999999999998
154	62336,000000000000000	-132,860000000000014	-629,779999999999973	0,000000000496920	10,000000000000000	20,123999999999999
155	62336,000000000000000	-128,669999999999987	-607,000000000000000	0,000000000478330	10,000000000000000	20,905999999999999
156	62337,000000000000000	-134,509999999999991	-630,470000000000027	0,000000000495960	10,000000000000000	20,163000000000000
157	62337,000000000000000	-131,460000000000008	-618,690000000000055	0,000000000487230	10,000000000000000	20,524000000000001
158	62337,000000000000000	-139,129999999999995	-621,440000000000055	0,000000000482300	10,000000000000000	20,734000000000002
159	62338,000000000000000	-131,360000000000014	-605,409999999999968	0,000000000474040	10,000000000000000	21,094999999999999
160	62338,000000000000000	-141,050000000000011	-624,250000000000000	0,000000000483200	10,000000000000000	20,696000000000002
161	62339,000000000000000	-132,000000000000000	-617,690000000000055	0,000000000485690	10,000000000000000	20,588999999999999
162	62339,000000000000000	-128,060000000000002	-613,529999999999973	0,000000000485470	10,000000000000000	20,599000000000000
163	62340,000000000000000	-120,709999999999994	-617,470000000000027	0,000000000496750	10,000000000000000	20,131000000000000
164	62340,000000000000000	-131,740000000000009	-605,590000000000032	0,000000000473860	10,000000000000000	21,103000000000002
165	62341,000000000000000	-132,960000000000008	-620,409999999999968	0,000000000487440	10,000000000000000	20,515000000000001
166	62341,000000000000000	-131,599999999999994	-625,970000000000027	0,000000000494370	10,000000000000000	20,228000000000002
167	62341,000000000000000	-124,909999999999982	-613,409999999999968	0,000000000488500	10,000000000000000	20,471000000000000
168	62342,000000000000000	-125,680000000000007	-607,970000000000027	0,000000000482290	10,000000000000000	20,734999999999999
169	62342,000000000000000	-124,569999999999993	-612,190000000000055	0,000000000487620	10,000000000000000	20,507999999999999
170	62343,000000000000000	-129,689999999999998	-592,840000000000032	0,000000000463150	10,000000000000000	21,591000000000001
171	62343,000000000000000	-127,399999999999991	-617,750000000000000	0,000000000490350	10,000000000000000	20,393999999999998
172	62344,000000000000000	-130,949999999999989	-623,440000000000055	0,000000000492490	10,000000000000000	20,305000000000000
173	62344,000000000000000	-132,919999999999987	-616,340000000000032	0,000000000483430	10,000000000000000	20,686000000000000
174	62344,000000000000000	-137,520000000000010	-615,970000000000027	0,000000000478450	10,000000000000000	20,901000000000000
175	62345,000000000000000	-132,349999999999994	-602,409999999999968	0,000000000470060	10,000000000000000	21,274000000000001
176	62345,000000000000000	-135,780000000000001	-628,620000000000005	0,000000000492850	10,000000000000000	20,289999999999999
177	62346,000000000000000	-124,569999999999993	-620,940000000000055	0,000000000496370	10,000000000000000	20,146000000000001
178	62346,000000000000000	-129,590000000000003	-620,559999999999945	0,000000000490970	10,000000000000000	20,367999999999999
179	62347,000000000000000	-126,889999999999986	-614,250000000000000	0,000000000487360	10,000000000000000	20,518999999999998
180	62347,000000000000000	-139,530000000000001	-631,250000000000000	0,000000000491720	10,000000000000000	20,337000000000000
181	62348,000000000000000	-127,170000000000016	-625,590000000000032	0,000000000498420	10,000000000000000	20,062999999999999
182	62348,000000000000000	-126,829999999999998	-613,590000000000032	0,000000000486760	10,000000000000000	20,544000000000000
183	62348,000000000000000	-131,319999999999993	-623,750000000000000	0,000000000492430	10,000000000000000	20,306999999999999
184	62349,000000000000000	-129,460000000000008	-617,220000000000027	0,000000000487760	10,000000000000000	20,501999999999999
185	62349,000000000000000	-138,990000000000009	-622,159999999999968	0,000000000483170	10,000000000000000	20,696999999999999
186	62350,000000000000000	-133,699999999999989	-630,409999999999968	0,000000000496710	10,000000000000000	20,132000000000001
187	62350,000000000000000	-133,180000000000007	-616,940000000000055	0,000000000483760	10,000000000000000	20,672000000000001
188	62351,000000000000000	-128,849999999999994	-621,379999999999995	0,000000000492530	10,000000000000000	20,303000000000001
189	62351,000000000000000	-131,139999999999986	-623,559999999999945	0,000000000492420	10,000000000000000	20,308000000000000
190	62351,000000000000000	-132,370000000000005	-609,279999999999973	0,000000000476910	10,000000000000000	20,968000000000000
191	62352,000000000000000	-137,789999999999992	-620,129999999999995	0,000000000482340	10,000000000000000	20,731999999999999
192	62352,000000000000000	-130,810000000000002	-611,500000000000000	0,000000000480690	10,000000000000000	20,803000000000001
193	62353,000000000000000	-137,009999999999991	-599,029999999999973	0,000000000462020	10,000000000000000	21,643999999999998
194	62353,000000000000000	-129,080000000000013	-624,090000000000032	0,000000000495020	10,000000000000000	20,201000000000001
195	62354,000000000000000	-128,919999999999987	-617,370000000000005	0,000000000488450	10,000000000000000	20,472999999999999
196	62354,000000000000000	-126,329999999999998	-612,090000000000032	0,000000000485760	10,000000000000000	20,585999999999999
197	62355,000000000000000	-129,680000000000007	-610,090000000000032	0,000000000480410	10,000000000000000	20,815000000000001
198	62355,000000000000000	-122,409999999999997	-615,809999999999945	0,000000000493400	10,000000000000000	20,266999999999999
199	62355,000000000000000	-122,269999999999982	-603,970000000000027	0,000000000481690	10,000000000000000	20,760000000000002
