16-Nov-2018 10:09:09

Existing File opened read-only: 
  "D:\HEKA_DATA\1810292ho.dat". 

GROUP_1,    3

SERIES_1_1, "IVCC-I",  "", 29-Oct-2018, 16:02:56.906
EPC10/2-1, C-Clamp,  0.0000 ,  10.000m,  7.3014k,  6.8472p,  15.719p
    284,  -177.47p,  -682.97p,   505.50p,   10.000m,   19.782M
    285,  -172.58p,  -701.66p,   529.08p,   10.000m,   18.901M
    286,  -176.11p,  -702.53p,   526.42p,   10.000m,   18.996M
    287,  -175.55p,  -701.16p,   525.61p,   10.000m,   19.026M
    288,  -180.09p,  -687.03p,   506.94p,   10.000m,   19.726M
    289,  -175.31p,  -695.59p,   520.29p,   10.000m,   19.220M
    290,  -177.29p,  -695.91p,   518.62p,   10.000m,   19.282M
    291,  -180.21p,  -682.81p,   502.60p,   10.000m,   19.896M
    292,  -178.02p,  -688.22p,   510.20p,   10.000m,   19.600M
    293,  -177.82p,  -698.66p,   520.84p,   10.000m,   19.200M
    294,  -178.85p,  -681.50p,   502.65p,   10.000m,   19.895M
    295,  -177.08p,  -702.06p,   524.99p,   10.000m,   19.048M
    296,  -181.59p,  -699.81p,   518.23p,   10.000m,   19.297M
    297,  -175.97p,  -707.75p,   531.78p,   10.000m,   18.805M
    298,  -178.74p,  -695.25p,   516.51p,   10.000m,   19.361M
    299,  -179.05p,  -688.78p,   509.73p,   10.000m,   19.618M
    300,  -180.15p,  -697.28p,   517.13p,   10.000m,   19.337M
    301,  -176.25p,  -703.28p,   527.03p,   10.000m,   18.974M
    302,  -177.64p,  -694.19p,   516.54p,   10.000m,   19.359M
    303,  -184.49p,  -697.22p,   512.73p,   10.000m,   19.504M
    304,  -182.22p,  -712.50p,   530.28p,   10.000m,   18.858M
    305,  -176.61p,  -719.63p,   543.02p,   10.000m,   18.416M
    306,  -179.16p,  -694.78p,   515.62p,   10.000m,   19.394M
    307,  -177.36p,  -706.03p,   528.67p,   10.000m,   18.915M
    308,  -172.93p,  -694.16p,   521.23p,   10.000m,   19.186M
    309,  -169.09p,  -686.94p,   517.85p,   10.000m,   19.311M
    310,  -171.12p,  -715.56p,   544.44p,   10.000m,   18.368M
    311,  -173.10p,  -693.75p,   520.65p,   10.000m,   19.207M
    312,  -174.58p,  -700.94p,   526.35p,   10.000m,   18.999M
    313,  -179.75p,  -694.72p,   514.96p,   10.000m,   19.419M
    314,  -182.36p,  -704.34p,   521.98p,   10.000m,   19.158M
    315,  -177.08p,  -689.34p,   512.27p,   10.000m,   19.521M
    316,  -175.35p,  -696.19p,   520.84p,   10.000m,   19.200M
    317,  -177.60p,  -697.97p,   520.37p,   10.000m,   19.217M
    318,  -177.99p,  -709.22p,   531.23p,   10.000m,   18.824M
    319,  -177.25p,  -710.84p,   533.59p,   10.000m,   18.741M
    320,  -179.94p,  -721.38p,   541.44p,   10.000m,   18.469M
    321,  -180.99p,  -704.00p,   523.01p,   10.000m,   19.120M
    322,  -173.69p,  -686.59p,   512.90p,   10.000m,   19.497M
    323,  -170.70p,  -698.06p,   527.37p,   10.000m,   18.962M
    324,  -179.35p,  -700.53p,   521.18p,   10.000m,   19.187M
    325,  -185.02p,  -699.91p,   514.88p,   10.000m,   19.422M
    326,  -178.54p,  -686.16p,   507.61p,   10.000m,   19.700M
    327,  -174.44p,  -691.00p,   516.56p,   10.000m,   19.359M
    328,  -174.16p,  -696.91p,   522.74p,   10.000m,   19.130M
    329,  -173.94p,  -687.22p,   513.27p,   10.000m,   19.483M
    330,  -173.59p,  -684.28p,   510.69p,   10.000m,   19.581M
    331,  -177.12p,  -686.03p,   508.91p,   10.000m,   19.650M
    332,  -170.30p,  -687.81p,   517.52p,   10.000m,   19.323M
    333,  -169.65p,  -695.28p,   525.64p,   10.000m,   19.025M
    334,  -173.04p,  -685.59p,   512.56p,   10.000m,   19.510M
    335,  -169.79p,  -692.13p,   522.33p,   10.000m,   19.145M
    336,  -166.92p,  -685.22p,   518.30p,   10.000m,   19.294M
    337,  -161.82p,  -693.75p,   531.93p,   10.000m,   18.799M
    338,  -165.04p,  -691.44p,   526.40p,   10.000m,   18.997M
    339,  -164.70p,  -689.25p,   524.55p,   10.000m,   19.064M
    340,  -161.30p,  -679.41p,   518.10p,   10.000m,   19.301M
    341,  -158.81p,  -693.19p,   534.38p,   10.000m,   18.713M
    342,  -162.19p,  -692.00p,   529.81p,   10.000m,   18.875M
    343,  -158.55p,  -680.81p,   522.26p,   10.000m,   19.148M
    344,  -160.77p,  -679.06p,   518.29p,   10.000m,   19.294M
    345,  -157.05p,  -689.03p,   531.98p,   10.000m,   18.798M
    346,  -153.44p,  -676.50p,   523.06p,   10.000m,   19.118M
    347,  -152.09p,  -687.13p,   535.04p,   10.000m,   18.690M
    348,  -154.69p,  -715.00p,   560.31p,   10.000m,   17.847M
    349,  -154.88p,  -683.44p,   528.56p,   10.000m,   18.919M
    350,  -147.68p,  -680.25p,   532.57p,   10.000m,   18.777M
    351,  -151.46p,  -681.47p,   530.01p,   10.000m,   18.868M
    352,  -148.36p,  -691.44p,   543.08p,   10.000m,   18.413M
    353,  -147.43p,  -673.97p,   526.54p,   10.000m,   18.992M
    354,  -144.26p,  -692.19p,   547.93p,   10.000m,   18.251M
    355,  -145.90p,  -683.28p,   537.38p,   10.000m,   18.609M
