
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -60.9035308m,  -14.3857268m
      2,    1.00000000,             2,  -59.7181813m,  -19.3888820m
      3,    2.00000000,             3,  -59.4447126m,  -17.7563443m
      4,    3.00000000,             4,  -58.5788537m,  -22.0533220m
      5,    4.00000000,             5,  -58.1700116m,  -16.4409130m
      6,    5.00000000,             6,  -58.5418996m,  -17.2521288m
      7,    6.00000000,             7,  -58.6600255m,  -16.7350715m
      8,    7.00000000,             8,  -57.9222000m,  -20.8195849m
      9,    8.00000000,             9,  -58.1402959m,  -17.0530348m
     10,    9.00000000,            10,  -57.1046434m,  -17.5196090m
     11,    10.0000000,            11,  -56.7999870m,  -16.3954155m
     12,    11.0000000,            12,  -55.9000531m,  -17.2157439m
     13,    12.0000000,            13,  -55.0568199m,  -13.7963639m
     14,    13.0000000,            14,  -52.7184954m,  -14.9488764m
     15,    14.0000000,            15,  -42.6866061m,  -10.5020708m
     16,    15.0000000,            16,  -52.4987351m,  -13.6331009m
     17,    16.0000000,            17,  -38.1512927m,   9.77430181m
     18,    17.0000000,            18,  -39.0138561m,   18.1130753m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
     10,   55.5062989k,  -118.574461p,  -756.718743p,   638.144282p,   10.0000000m,   15.6704374M
     11,   55.5067349k,  -112.862680p,  -758.531238p,   645.668558p,   10.0000000m,   15.4878225M
     12,   55.5071713k,  -125.073490p,  -750.218776p,   625.145286p,   10.0000000m,   15.9962815M
     13,   55.5076089k,  -109.536805p,  -752.500007p,   642.963202p,   10.0000000m,   15.5529896M
     14,   55.5080459k,  -104.854451p,  -752.906237p,   648.051787p,   10.0000000m,   15.4308656M
     15,   55.5084829k,  -114.277126p,  -743.624995p,   629.347868p,   10.0000000m,   15.8894635M
     16,   55.5089189k,  -102.793757p,  -735.968730p,   633.174974p,   10.0000000m,   15.7934227M
     17,   55.5093559k,  -108.327545p,  -733.343775p,   625.016229p,   10.0000000m,   15.9995845M
     18,   55.5097929k,  -109.854604p,  -750.968732p,   641.114128p,   10.0000000m,   15.5978469M
     19,   55.5102299k,  -106.417394p,  -747.374995p,   640.957602p,   10.0000000m,   15.6016560M
     20,   55.5106819k,  -110.811682p,  -744.093731p,   633.282049p,   10.0000000m,   15.7907523M
     21,   55.5111258k,  -107.473385p,  -742.687523p,   635.214138p,   10.0000000m,   15.7427227M
     22,   55.5115719k,  -107.018300p,  -739.812489p,   632.794189p,   10.0000000m,   15.8029264M
     23,   55.5120079k,  -110.993474p,  -755.125018p,   644.131544p,   10.0000000m,   15.5247792M
     24,   55.5124449k,  -106.839916p,  -753.593743p,   646.753827p,   10.0000000m,   15.4618335M
     25,   55.5128819k,  -109.222362p,  -754.093732p,   644.871370p,   10.0000000m,   15.5069685M
     26,   55.5133189k,  -101.067526p,  -741.656236p,   640.588710p,   10.0000000m,   15.6106404M
     27,   55.5137709k,  -104.233199p,  -728.062499p,   623.829300p,   10.0000000m,   16.0300262M
     28,   55.5142079k,  -111.090649p,  -751.312512p,   640.221864p,   10.0000000m,   15.6195853M
     29,   55.5146599k,  -130.788935p,  -746.875006p,   616.086072p,   10.0000000m,   16.2314983M
     30,   55.5151123k,  -102.754294p,  -746.187501p,   643.433207p,   10.0000000m,   15.5416287M
     31,   55.5155558k,  -102.822604p,  -747.249984p,   644.427380p,   10.0000000m,   15.5176523M
     32,   55.5160019k,  -105.601656p,  -748.406226p,   642.804570p,   10.0000000m,   15.5568278M
     33,   55.5164389k,  -99.8077632p,  -743.250017p,   643.442254p,   10.0000000m,   15.5414102M
     34,   55.5168909k,  -103.209924p,  -740.468742p,   637.258818p,   10.0000000m,   15.6922113M
     35,   55.5173279k,  -121.419387p,  -742.500006p,   621.080619p,   10.0000000m,   16.1009693M
     36,   55.5177799k,  -112.963042p,  -747.093776p,   634.130734p,   10.0000000m,   15.7696189M
     37,   55.5182328k,  -115.553929p,  -757.156227p,   641.602298p,   10.0000000m,   15.5859791M
     38,   55.5186768k,  -114.458475p,  -774.343756p,   659.885281p,   10.0000000m,   15.1541492M
     39,   55.5191213k,  -125.712258p,  -805.906231p,   680.193973p,   10.0000000m,   14.7016886M
     40,   55.5195589k,  -118.091909p,  -755.812524p,   637.720614p,   10.0000000m,   15.6808480M
     41,   55.5200109k,  -112.535731p,  -766.531227p,   653.995496p,   10.0000000m,   15.2906252M
     42,   55.5204479k,  -112.099952p,  -738.656247p,   626.556295p,   10.0000000m,   15.9602578M
     43,   55.5208999k,  -122.033431p,  -751.843754p,   629.810323p,   10.0000000m,   15.8777963M
     44,   55.5213529k,  -120.130214p,  -755.625007p,   635.494793p,   10.0000000m,   15.7357702M
     45,   55.5217965k,  -123.265744p,  -761.281260p,   638.015516p,   10.0000000m,   15.6736000M
     46,   55.5222419k,  -129.043313p,  -766.843755p,   637.800442p,   10.0000000m,   15.6788853M
     47,   55.5226789k,  -117.056451p,  -751.562479p,   634.506028p,   10.0000000m,   15.7602916M
     48,   55.5231303k,  -115.793740p,  -766.406272p,   650.612532p,   10.0000000m,   15.3701312M
     49,   55.5235679k,  -117.718102p,  -755.656260p,   637.938158p,   10.0000000m,   15.6755006M
     50,   55.5240199k,  -131.505793p,  -762.281238p,   630.775445p,   10.0000000m,   15.8535023M
     51,   55.5244728k,  -121.864299p,  -747.312490p,   625.448191p,   10.0000000m,   15.9885345M
     52,   55.5249168k,  -112.574376p,  -747.468754p,   634.894377p,   10.0000000m,   15.7506514M
     53,   55.5253619k,  -119.547556p,  -762.406249p,   642.858693p,   10.0000000m,   15.5555180M
     54,   55.5257989k,  -124.222106p,  -762.968744p,   638.746637p,   10.0000000m,   15.6556597M
     55,   55.5262509k,  -137.827392p,  -762.031271p,   624.203879p,   10.0000000m,   16.0204067M
     56,   55.5266879k,  -125.285731p,  -761.812502p,   636.526771p,   10.0000000m,   15.7102583M
     57,   55.5271393k,  -122.095573p,  -750.656259p,   628.560687p,   10.0000000m,   15.9093628M
     58,   55.5275929k,  -110.702528p,  -741.781248p,   631.078719p,   10.0000000m,   15.8458837M
     59,   55.5280369k,  -110.962871p,  -753.687501p,   642.724630p,   10.0000000m,   15.5587627M
     60,   55.5284819k,  -112.759201p,  -762.000019p,   649.240818p,   10.0000000m,   15.4026052M
     61,   55.5289189k,  -113.254669p,  -751.281259p,   638.026591p,   10.0000000m,   15.6733280M
     62,   55.5293709k,  -117.285765p,  -745.468742p,   628.182977p,   10.0000000m,   15.9189287M
     63,   55.5298079k,  -112.901121p,  -738.812511p,   625.911390p,   10.0000000m,   15.9767024M
     64,   55.5302599k,  -111.036140p,  -737.812478p,   626.776338p,   10.0000000m,   15.9546546M
     65,   55.5307129k,  -110.316095p,  -753.812512p,   643.496417p,   10.0000000m,   15.5401021M
     66,   55.5311571k,  -109.651002p,  -763.125008p,   653.474006p,   10.0000000m,   15.3028275M
     67,   55.5316019k,  -110.316521p,  -758.125007p,   647.808486p,   10.0000000m,   15.4366610M
     68,   55.5320389k,  -108.108949p,  -747.406248p,   639.297299p,   10.0000000m,   15.6421746M
     69,   55.5324909k,  -147.714252p,  -786.968768p,   639.254516p,   10.0000000m,   15.6432215M
     70,   55.5329279k,  -128.301577p,  -792.843735p,   664.542158p,   10.0000000m,   15.0479543M
     71,   55.5333799k,  -114.405108p,  -756.937513p,   642.532405p,   10.0000000m,   15.5634174M
     72,   55.5338329k,  -123.350599p,  -771.124997p,   647.774398p,   10.0000000m,   15.4374733M
     73,   55.5342764k,  -106.956618p,  -738.718753p,   631.762135p,   10.0000000m,   15.8287423M
     74,   55.5347219k,  -114.683001p,  -751.781248p,   637.098247p,   10.0000000m,   15.6961662M
     75,   55.5351589k,  -114.415144p,  -744.406259p,   629.991115p,   10.0000000m,   15.8732397M
     76,   55.5356109k,  -106.294677p,  -750.031259p,   643.736582p,   10.0000000m,   15.5343044M
     77,   55.5360479k,  -118.464319p,  -771.187503p,   652.723183p,   10.0000000m,   15.3204302M
     78,   55.5364999k,  -112.922420p,  -754.656226p,   641.733806p,   10.0000000m,   15.5827851M
     79,   55.5369529k,  -119.182780p,  -764.156238p,   644.973458p,   10.0000000m,   15.5045140M
     80,   55.5373969k,  -117.945133p,  -779.500020p,   661.554887p,   10.0000000m,   15.1159038M
     81,   55.5378419k,  -113.315431p,  -755.562501p,   642.247071p,   10.0000000m,   15.5703318M
     82,   55.5382789k,  -111.933632p,  -753.468732p,   641.535100p,   10.0000000m,   15.5876117M
     83,   55.5387309k,  -103.905705p,  -750.593754p,   646.688049p,   10.0000000m,   15.4634062M
     84,   55.5391679k,  -113.237595p,  -740.218775p,   626.981180p,   10.0000000m,   15.9494421M
     85,   55.5396199k,  -105.210418p,  -750.843776p,   645.633358p,   10.0000000m,   15.4886669M
     86,   55.5400729k,  -115.668126p,  -758.812513p,   643.144387p,   10.0000000m,   15.5486081M
     87,   55.5405169k,  -107.606649p,  -741.343764p,   633.737115p,   10.0000000m,   15.7794135M
     88,   55.5409619k,  -114.547522p,  -763.624997p,   649.077474p,   10.0000000m,   15.4064813M
     89,   55.5413989k,  -110.632957p,  -761.593733p,   650.960775p,   10.0000000m,   15.3619087M
     90,   55.5418509k,  -121.773599p,  -769.874997p,   648.101398p,   10.0000000m,   15.4296844M
     91,   55.5422879k,  -117.567168p,  -769.406261p,   651.839093p,   10.0000000m,   15.3412094M
     92,   55.5427409k,  -109.446531p,  -759.437513p,   649.990982p,   10.0000000m,   15.3848288M
     93,   55.5431769k,  -112.504890p,  -755.625007p,   643.120117p,   10.0000000m,   15.5491948M
     94,   55.5436139k,  -121.306059p,  -778.593745p,   657.287686p,   10.0000000m,   15.2140382M
     95,   55.5440509k,  -116.282119p,  -759.906249p,   643.624130p,   10.0000000m,   15.5370185M
     96,   55.5444879k,  -116.270566p,  -755.999985p,   639.729419p,   10.0000000m,   15.6316088M
     97,   55.5449249k,  -118.061375p,  -769.843744p,   651.782369p,   10.0000000m,   15.3425445M
     98,   55.5453608k,  -120.695934p,  -772.156228p,   651.460294p,   10.0000000m,   15.3501297M
     99,   55.5457979k,  -118.245638p,  -774.062481p,   655.816843p,   10.0000000m,   15.2481598M
    100,   55.5462349k,  -119.303145p,  -760.999985p,   641.696840p,   10.0000000m,   15.5836828M
    101,   55.5466719k,  -121.324989p,  -764.406261p,   643.081271p,   10.0000000m,   15.5501341M
    102,   55.5471083k,  -121.637455p,  -760.937480p,   639.300024p,   10.0000000m,   15.6421080M
