
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
    115,   52.6291709k,  -98.4541133p,  -669.937494p,   571.483381p,   10.0000000m,   17.4983216M
    116,   52.6296079k,  -101.640046p,  -681.312506p,   579.672461p,   10.0000000m,   17.2511214M
    117,   52.6300439k,  -103.747410p,  -681.375012p,   577.627602p,   10.0000000m,   17.3121921M
    118,   52.6304809k,  -103.082436p,  -668.718747p,   565.636311p,   10.0000000m,   17.6792045M
    119,   52.6309179k,  -103.641733p,  -679.156231p,   575.514499p,   10.0000000m,   17.3757569M
    120,   52.6313549k,  -102.066044p,  -675.656253p,   573.590209p,   10.0000000m,   17.4340493M
    121,   52.6317919k,  -91.0070373p,  -677.062517p,   586.055480p,   10.0000000m,   17.0632309M
    122,   52.6322279k,  -108.088331p,  -683.156254p,   575.067922p,   10.0000000m,   17.3892502M
    123,   52.6326649k,  -107.584412p,  -657.343735p,   549.759323p,   10.0000000m,   18.1897779M
    124,   52.6331019k,  -107.502590p,  -677.500001p,   569.997411p,   10.0000000m,   17.5439393M
    125,   52.6335532k,  -102.679730p,  -669.593769p,   566.914039p,   10.0000000m,   17.6393585M
    126,   52.6340069k,  -108.663117p,  -674.281242p,   565.618125p,   10.0000000m,   17.6797729M
    127,   52.6344438k,  -116.454164p,  -688.218760p,   571.764596p,   10.0000000m,   17.4897153M
    128,   52.6348799k,  -125.007088p,  -689.000024p,   563.992936p,   10.0000000m,   17.7307185M
    129,   52.6353169k,  -107.496302p,  -668.656241p,   561.159939p,   10.0000000m,   17.8202315M
    130,   52.6357539k,  -105.208424p,  -669.312494p,   564.104070p,   10.0000000m,   17.7272254M
    131,   52.6361909k,  -123.941231p,  -695.406233p,   571.465002p,   10.0000000m,   17.4988844M
    132,   52.6366279k,  -112.174397p,  -685.499990p,   573.325594p,   10.0000000m,   17.4420959M
    133,   52.6370639k,  -115.332487p,  -673.437472p,   558.104986p,   10.0000000m,   17.9177758M
    134,   52.6375003k,  -102.575757p,  -661.687483p,   559.111726p,   10.0000000m,   17.8855129M
    135,   52.6379379k,  -111.144391p,  -670.187517p,   559.043126p,   10.0000000m,   17.8877076M
    136,   52.6383899k,  -119.331481p,  -670.343725p,   551.012244p,   10.0000000m,   18.1484171M
    137,   52.6388269k,  -117.984596p,  -672.999989p,   555.015393p,   10.0000000m,   18.0175183M
    138,   52.6392799k,  -108.838825p,  -664.281241p,   555.442416p,   10.0000000m,   18.0036665M
    139,   52.6397319k,  -105.275048p,  -666.906252p,   561.631205p,   10.0000000m,   17.8052785M
    140,   52.6401763k,  -111.169012p,  -668.875011p,   557.705999p,   10.0000000m,   17.9305943M
    141,   52.6406209k,  -105.824513p,  -679.156231p,   573.331719p,   10.0000000m,   17.4419096M
