

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    170	   55.685k	  -56.740p	  -436.12p	   379.39p	   10.000m	   26.358M
    171	   55.686k	  -135.75p	  -436.94p	   301.19p	   10.000m	   33.202M
    172	   55.686k	  -57.951p	  -433.50p	   375.55p	   10.000m	   26.628M
    173	   55.687k	  -50.818p	  -440.88p	   390.06p	   10.000m	   25.637M
    174	   55.687k	  -60.306p	  -435.97p	   375.66p	   10.000m	   26.620M
    175	   55.687k	  -55.752p	  -440.81p	   385.06p	   10.000m	   25.970M
    176	   55.688k	  -63.384p	  -442.91p	   379.52p	   10.000m	   26.349M
    177	   55.688k	  -59.298p	  -431.31p	   372.01p	   10.000m	   26.881M
    178	   55.689k	  -55.822p	  -437.19p	   381.37p	   10.000m	   26.222M
    179	   55.689k	  -52.888p	  -434.22p	   381.33p	   10.000m	   26.224M
    180	   55.690k	  -60.122p	  -437.28p	   377.16p	   10.000m	   26.514M
    181	   55.690k	  -43.658p	  -418.69p	   375.03p	   10.000m	   26.665M
    182	   55.691k	  -56.953p	  -445.59p	   388.64p	   10.000m	   25.731M
    183	   55.691k	  -89.912p	  -438.25p	   348.34p	   10.000m	   28.708M
    184	   55.691k	  -53.685p	  -429.03p	   375.35p	   10.000m	   26.642M
    185	   55.692k	  -74.938p	  -438.53p	   363.59p	   10.000m	   27.503M
    186	   55.692k	  -55.817p	  -444.31p	   388.50p	   10.000m	   25.740M
    187	   55.693k	  -63.180p	  -440.94p	   377.76p	   10.000m	   26.472M
    188	   55.693k	  -58.221p	  -453.22p	   395.00p	   10.000m	   25.317M
    189	   55.694k	  -52.609p	  -427.72p	   375.11p	   10.000m	   26.659M
    190	   55.694k	  -59.526p	  -453.41p	   393.88p	   10.000m	   25.388M
    191	   55.694k	  -59.676p	  -433.59p	   373.92p	   10.000m	   26.744M
    192	   55.695k	  -60.012p	  -446.78p	   386.77p	   10.000m	   25.855M
    193	   55.695k	  -57.776p	  -435.56p	   377.79p	   10.000m	   26.470M
    194	   55.696k	  -52.649p	  -437.87p	   385.23p	   10.000m	   25.959M
    195	   55.696k	  -61.104p	  -437.09p	   375.99p	   10.000m	   26.596M
    196	   55.697k	  -54.699p	  -439.28p	   384.58p	   10.000m	   26.002M
    197	   55.697k	  -93.780p	  -476.91p	   383.13p	   10.000m	   26.101M
    198	   55.698k	  -90.160p	  -464.84p	   374.68p	   10.000m	   26.689M
    199	   55.698k	  -102.42p	  -475.44p	   373.02p	   10.000m	   26.808M
    200	   55.698k	  -79.415p	  -467.19p	   387.77p	   10.000m	   25.788M
    201	   55.699k	  -94.362p	  -613.28p	   518.92p	   10.000m	   19.271M
    202	   55.699k	  -67.183p	  -452.34p	   385.16p	   10.000m	   25.963M
    203	   55.700k	  -62.908p	  -443.56p	   380.65p	   10.000m	   26.271M
    204	   55.700k	  -60.905p	  -448.78p	   387.88p	   10.000m	   25.781M
    205	   55.701k	  -63.046p	  -455.12p	   392.08p	   10.000m	   25.505M
    206	   55.701k	  -67.259p	  -446.78p	   379.52p	   10.000m	   26.349M
    207	   55.701k	  -60.424p	  -432.50p	   372.08p	   10.000m	   26.876M
    208	   55.702k	  -54.677p	  -437.81p	   383.14p	   10.000m	   26.100M
    209	   55.702k	  -62.741p	  -439.00p	   376.26p	   10.000m	   26.577M
    210	   55.703k	  -57.359p	  -440.72p	   383.36p	   10.000m	   26.085M
    211	   55.703k	  -58.117p	  -445.66p	   387.54p	   10.000m	   25.804M
    212	   55.704k	  -55.026p	  -445.94p	   390.91p	   10.000m	   25.581M
    213	   55.704k	  -52.387p	  -438.16p	   385.77p	   10.000m	   25.922M
    214	   55.705k	  -55.713p	  -449.25p	   393.54p	   10.000m	   25.411M
    215	   55.705k	  -83.675p	  -454.97p	   371.29p	   10.000m	   26.933M
    216	   55.705k	  -57.154p	  -444.06p	   386.91p	   10.000m	   25.846M
    217	   55.706k	  -58.687p	  -447.41p	   388.72p	   10.000m	   25.725M
    218	   55.706k	  -53.149p	  -444.59p	   391.45p	   10.000m	   25.546M
    219	   55.707k	  -61.079p	  -458.19p	   397.11p	   10.000m	   25.182M
    220	   55.707k	  -59.860p	  -437.78p	   377.92p	   10.000m	   26.461M
    221	   55.708k	  -59.069p	  -446.00p	   386.93p	   10.000m	   25.844M
    222	   55.708k	  -58.422p	  -449.97p	   391.55p	   10.000m	   25.540M
    223	   55.708k	  -58.635p	  -442.81p	   384.18p	   10.000m	   26.030M
    224	   55.709k	  -53.455p	  -435.78p	   382.33p	   10.000m	   26.156M
    225	   55.709k	  -57.378p	  -447.75p	   390.37p	   10.000m	   25.617M
    226	   55.710k	  -56.701p	  -454.69p	   397.99p	   10.000m	   25.126M
    227	   55.710k	  -55.673p	  -443.50p	   387.83p	   10.000m	   25.785M
    228	   55.711k	  -56.421p	  -443.62p	   387.20p	   10.000m	   25.826M
    229	   55.711k	  -55.597p	  -449.38p	   393.78p	   10.000m	   25.395M
    230	   55.712k	  -71.696p	  -451.41p	   379.71p	   10.000m	   26.336M
    231	   55.712k	  -62.392p	  -450.16p	   387.76p	   10.000m	   25.789M
    232	   55.712k	  -57.054p	  -444.66p	   387.60p	   10.000m	   25.800M
    233	   55.713k	  -57.331p	  -453.87p	   396.54p	   10.000m	   25.218M
    234	   55.713k	  -68.205p	  -470.00p	   401.79p	   10.000m	   24.888M
    235	   55.714k	  -76.831p	  -447.91p	   371.08p	   10.000m	   26.949M
    236	   55.714k	  -56.565p	  -440.91p	   384.34p	   10.000m	   26.019M
    237	   55.715k	  -57.083p	  -451.81p	   394.73p	   10.000m	   25.334M
    238	   55.715k	  -62.201p	  -452.22p	   390.02p	   10.000m	   25.640M
    239	   55.715k	  -76.735p	  -458.31p	   381.58p	   10.000m	   26.207M
    240	   55.716k	  -62.294p	  -457.13p	   394.83p	   10.000m	   25.327M
    241	   55.716k	  -60.398p	  -454.16p	   393.76p	   10.000m	   25.396M
    242	   55.717k	  -60.450p	  -448.94p	   388.49p	   10.000m	   25.741M
    243	   55.717k	  -98.755p	  -470.94p	   372.18p	   10.000m	   26.869M
