

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    973	   56.037k	  -54.295p	  -323.03p	   268.74p	   10.000m	   37.211M
    974	   56.037k	  -57.969p	  -335.53p	   277.56p	   10.000m	   36.028M
    975	   56.037k	  -52.163p	  -329.87p	   277.71p	   10.000m	   36.009M
    976	   56.038k	  -55.024p	  -328.47p	   273.44p	   10.000m	   36.570M
    977	   56.038k	  -58.026p	  -330.16p	   272.13p	   10.000m	   36.747M
    978	   56.039k	  -58.563p	  -335.00p	   276.44p	   10.000m	   36.175M
    979	   56.039k	  -58.706p	  -331.87p	   273.17p	   10.000m	   36.607M
    980	   56.040k	  -53.825p	  -331.47p	   277.64p	   10.000m	   36.017M
    981	   56.040k	  -61.288p	  -325.16p	   263.87p	   10.000m	   37.898M
    982	   56.041k	  -60.514p	  -339.53p	   279.02p	   10.000m	   35.840M
    983	   56.041k	  -56.950p	  -324.56p	   267.61p	   10.000m	   37.367M
    984	   56.041k	  -56.996p	  -335.97p	   278.97p	   10.000m	   35.846M
    985	   56.042k	  -55.706p	  -320.53p	   264.83p	   10.000m	   37.761M
    986	   56.042k	  -56.245p	  -330.75p	   274.51p	   10.000m	   36.429M
    987	   56.043k	  -54.843p	  -336.72p	   281.88p	   10.000m	   35.477M
    988	   56.043k	  -54.883p	  -324.84p	   269.96p	   10.000m	   37.042M
    989	   56.044k	  -60.320p	  -319.56p	   259.24p	   10.000m	   38.574M
    990	   56.044k	  -54.985p	  -321.06p	   266.08p	   10.000m	   37.583M
    991	   56.044k	  -54.785p	  -330.94p	   276.15p	   10.000m	   36.212M
    992	   56.045k	  -49.556p	  -322.56p	   273.01p	   10.000m	   36.629M
    993	   56.045k	  -66.377p	  -326.81p	   260.44p	   10.000m	   38.397M
    994	   56.046k	  -55.916p	  -329.47p	   273.55p	   10.000m	   36.556M
    995	   56.046k	  -58.704p	  -326.50p	   267.80p	   10.000m	   37.342M
    996	   56.047k	  -56.604p	  -334.56p	   277.96p	   10.000m	   35.977M
    997	   56.047k	  -56.645p	  -331.19p	   274.54p	   10.000m	   36.424M
    998	   56.048k	  -54.856p	  -320.44p	   265.58p	   10.000m	   37.653M
    999	   56.048k	  -58.435p	  -319.69p	   261.25p	   10.000m	   38.277M
   1000	   56.048k	  -56.430p	  -327.09p	   270.66p	   10.000m	   36.946M
   1001	   56.049k	  -54.024p	  -322.34p	   268.32p	   10.000m	   37.269M
   1002	   56.049k	  -57.852p	  -333.75p	   275.90p	   10.000m	   36.245M
   1003	   56.050k	  -49.761p	  -324.37p	   274.61p	   10.000m	   36.415M
   1004	   56.050k	  -54.270p	  -325.34p	   271.07p	   10.000m	   36.890M
   1005	   56.051k	  -55.325p	  -316.81p	   261.49p	   10.000m	   38.243M
   1006	   56.051k	  -53.785p	  -325.62p	   271.84p	   10.000m	   36.786M
   1007	   56.051k	  -57.289p	  -327.63p	   270.34p	   10.000m	   36.991M
   1008	   56.052k	  -51.958p	  -313.03p	   261.07p	   10.000m	   38.303M
   1009	   56.052k	  -58.717p	  -325.66p	   266.94p	   10.000m	   37.462M
   1010	   56.053k	  -54.629p	  -320.53p	   265.90p	   10.000m	   37.608M
   1011	   56.053k	  -56.146p	  -327.28p	   271.14p	   10.000m	   36.882M
   1012	   56.054k	  -55.287p	  -326.44p	   271.15p	   10.000m	   36.880M
   1013	   56.054k	  -51.817p	  -315.94p	   264.12p	   10.000m	   37.862M
   1014	   56.055k	  -51.939p	  -322.84p	   270.90p	   10.000m	   36.913M
   1015	   56.055k	  -55.217p	  -333.06p	   277.85p	   10.000m	   35.991M
   1016	   56.055k	  -52.796p	  -323.78p	   270.99p	   10.000m	   36.902M
   1017	   56.056k	  -51.950p	  -318.41p	   266.46p	   10.000m	   37.530M
   1018	   56.056k	  -61.417p	  -361.16p	   299.74p	   10.000m	   33.362M
   1019	   56.057k	  -54.993p	  -332.00p	   277.01p	   10.000m	   36.100M
   1020	   56.057k	  -54.128p	  -324.62p	   270.50p	   10.000m	   36.969M
   1021	   56.058k	  -59.547p	  -337.03p	   277.48p	   10.000m	   36.038M
   1022	   56.058k	  -53.280p	  -317.81p	   264.53p	   10.000m	   37.803M
   1023	   56.058k	  -54.779p	  -313.72p	   258.94p	   10.000m	   38.619M
   1024	   56.059k	  -51.047p	  -319.16p	   268.11p	   10.000m	   37.298M
   1025	   56.059k	  -125.02p	  -328.72p	   203.70p	   10.000m	   49.092M
   1026	   56.060k	  -59.606p	  -341.12p	   281.52p	   10.000m	   35.522M
   1027	   56.060k	  -60.886p	  -329.81p	   268.93p	   10.000m	   37.185M
   1028	   56.061k	  -60.197p	  -325.47p	   265.27p	   10.000m	   37.697M
   1029	   56.061k	  -54.293p	  -324.22p	   269.93p	   10.000m	   37.047M
   1030	   56.062k	  -63.463p	  -332.94p	   269.47p	   10.000m	   37.109M
   1031	   56.062k	  -59.145p	  -321.31p	   262.17p	   10.000m	   38.143M
   1032	   56.062k	  -60.054p	  -319.19p	   259.13p	   10.000m	   38.590M
   1033	   56.063k	  -58.959p	  -321.81p	   262.85p	   10.000m	   38.044M
   1034	   56.063k	  -60.527p	  -328.22p	   267.69p	   10.000m	   37.356M
   1035	   56.064k	  -57.060p	  -326.41p	   269.35p	   10.000m	   37.127M
   1036	   56.064k	  -57.238p	  -320.22p	   262.98p	   10.000m	   38.026M
   1037	   56.065k	  -53.129p	  -320.62p	   267.50p	   10.000m	   37.384M
   1038	   56.065k	  -54.755p	  -316.78p	   262.03p	   10.000m	   38.164M
   1039	   56.065k	  -56.803p	  -314.16p	   257.35p	   10.000m	   38.857M
   1040	   56.066k	  -56.572p	  -323.88p	   267.30p	   10.000m	   37.411M
   1041	   56.066k	  -57.996p	  -318.66p	   260.66p	   10.000m	   38.364M
   1042	   56.067k	  -55.942p	  -319.75p	   263.81p	   10.000m	   37.906M
   1043	   56.067k	  -57.694p	  -324.13p	   266.43p	   10.000m	   37.533M
   1044	   56.068k	  -60.727p	  -321.50p	   260.77p	   10.000m	   38.348M
   1045	   56.068k	  -52.334p	  -313.44p	   261.10p	   10.000m	   38.299M
   1046	   56.069k	  -56.210p	  -314.34p	   258.13p	   10.000m	   38.740M
   1047	   56.069k	  -50.778p	  -309.56p	   258.78p	   10.000m	   38.642M
   1048	   56.069k	  -57.723p	  -318.09p	   260.37p	   10.000m	   38.407M
   1049	   56.070k	  -56.058p	  -320.59p	   264.54p	   10.000m	   37.802M
   1050	   56.070k	  -60.559p	  -320.00p	   259.44p	   10.000m	   38.544M
   1051	   56.071k	  -46.535p	  -306.72p	   260.18p	   10.000m	   38.434M
   1052	   56.071k	  -56.014p	  -311.16p	   255.14p	   10.000m	   39.194M
   1053	   56.072k	  -49.462p	  -318.09p	   268.63p	   10.000m	   37.226M
   1054	   56.072k	  -51.701p	  -309.13p	   257.42p	   10.000m	   38.846M
   1055	   56.072k	  -50.805p	  -326.38p	   275.57p	   10.000m	   36.288M
   1056	   56.073k	  -55.923p	  -321.41p	   265.48p	   10.000m	   37.667M
   1057	   56.073k	  -57.459p	  -324.56p	   267.10p	   10.000m	   37.439M
   1058	   56.074k	  -53.691p	  -322.81p	   269.12p	   10.000m	   37.158M
   1059	   56.074k	  -50.638p	  -307.66p	   257.02p	   10.000m	   38.908M
   1060	   56.075k	  -53.982p	  -312.78p	   258.80p	   10.000m	   38.640M
   1061	   56.075k	  -51.372p	  -322.03p	   270.66p	   10.000m	   36.947M
   1062	   56.076k	  -51.965p	  -311.63p	   259.66p	   10.000m	   38.512M
   1063	   56.076k	  -52.515p	  -315.69p	   263.17p	   10.000m	   37.998M
   1064	   56.076k	  -63.602p	  -310.72p	   247.12p	   10.000m	   40.467M
   1065	   56.077k	  -55.645p	  -319.72p	   264.07p	   10.000m	   37.868M
   1066	   56.077k	  -55.260p	  -327.47p	   272.21p	   10.000m	   36.737M
   1067	   56.078k	  -51.491p	  -310.03p	   258.54p	   10.000m	   38.679M
   1068	   56.078k	  -56.390p	  -314.66p	   258.27p	   10.000m	   38.720M
   1069	   56.079k	  -53.158p	  -313.69p	   260.53p	   10.000m	   38.383M
   1070	   56.079k	  -65.523p	  -321.97p	   256.45p	   10.000m	   38.995M
   1071	   56.079k	  -62.121p	  -332.84p	   270.72p	   10.000m	   36.938M
   1072	   56.080k	  -52.800p	  -317.19p	   264.39p	   10.000m	   37.823M
   1073	   56.080k	  -52.973p	  -319.28p	   266.31p	   10.000m	   37.551M
   1074	   56.081k	  -57.413p	  -311.31p	   253.90p	   10.000m	   39.386M
   1075	   56.081k	  -51.375p	  -300.75p	   249.37p	   10.000m	   40.100M
   1076	   56.082k	  -55.484p	  -312.94p	   257.45p	   10.000m	   38.842M
   1077	   56.082k	  -50.001p	  -315.50p	   265.50p	   10.000m	   37.665M
   1078	   56.083k	  -53.941p	  -314.28p	   260.34p	   10.000m	   38.411M
   1079	   56.083k	  -54.874p	  -304.25p	   249.38p	   10.000m	   40.100M
   1080	   56.083k	  -58.281p	  -315.25p	   256.97p	   10.000m	   38.915M
   1081	   56.084k	  -61.633p	  -459.69p	   398.05p	   10.000m	   25.122M
   1082	   56.084k	  -48.010p	  -310.31p	   262.30p	   10.000m	   38.124M
   1083	   56.085k	  -53.165p	  -313.56p	   260.40p	   10.000m	   38.403M
   1084	   56.085k	  -57.664p	  -316.41p	   258.74p	   10.000m	   38.649M
   1085	   56.086k	  -55.611p	  -312.75p	   257.14p	   10.000m	   38.890M
   1086	   56.086k	  -48.563p	  -313.22p	   264.66p	   10.000m	   37.785M
   1087	   56.086k	  -49.139p	  -312.75p	   263.61p	   10.000m	   37.935M
   1088	   56.087k	  -53.328p	  -306.53p	   253.20p	   10.000m	   39.494M
   1089	   56.087k	  -52.634p	  -308.12p	   255.49p	   10.000m	   39.140M
   1090	   56.088k	  -50.757p	  -311.91p	   261.15p	   10.000m	   38.292M
   1091	   56.088k	  -47.314p	  -301.94p	   254.62p	   10.000m	   39.274M
   1092	   56.089k	  -51.408p	  -306.63p	   255.22p	   10.000m	   39.182M
   1093	   56.089k	  -52.053p	  -309.87p	   257.82p	   10.000m	   38.786M
   1094	   56.090k	  -52.650p	  -311.41p	   258.76p	   10.000m	   38.646M
   1095	   56.090k	  -54.609p	  -310.59p	   255.99p	   10.000m	   39.065M
   1096	   56.090k	  -60.242p	  -304.69p	   244.45p	   10.000m	   40.909M
   1097	   56.091k	  -54.713p	  -306.87p	   252.16p	   10.000m	   39.657M
   1098	   56.091k	  -59.221p	  -317.00p	   257.78p	   10.000m	   38.793M
   1099	   56.092k	  -56.192p	  -311.09p	   254.90p	   10.000m	   39.231M
   1100	   56.092k	  -59.876p	  -332.53p	   272.66p	   10.000m	   36.676M
   1101	   56.093k	  -52.228p	  -304.56p	   252.33p	   10.000m	   39.630M
   1102	   56.093k	  -53.887p	  -315.87p	   261.99p	   10.000m	   38.170M
   1103	   56.093k	  -58.253p	  -316.94p	   258.68p	   10.000m	   38.657M
   1104	   56.094k	  -53.508p	  -306.87p	   253.37p	   10.000m	   39.469M
   1105	   56.094k	  -46.280p	  -309.56p	   263.28p	   10.000m	   37.982M
   1106	   56.095k	  -53.094p	  -315.41p	   262.31p	   10.000m	   38.123M
   1107	   56.095k	  -48.474p	  -303.47p	   254.99p	   10.000m	   39.216M
   1108	   56.096k	  -50.468p	  -303.69p	   253.22p	   10.000m	   39.492M
   1109	   56.096k	  -53.809p	  -323.06p	   269.25p	   10.000m	   37.140M
   1110	   56.097k	  -49.559p	  -307.59p	   258.03p	   10.000m	   38.754M
   1111	   56.097k	  -51.892p	  -308.25p	   256.36p	   10.000m	   39.008M
   1112	   56.097k	  -46.203p	  -306.72p	   260.52p	   10.000m	   38.385M
   1113	   56.098k	  -51.582p	  -307.69p	   256.11p	   10.000m	   39.046M
   1114	   56.098k	  -48.220p	  -310.03p	   261.81p	   10.000m	   38.195M
   1115	   56.099k	  -59.262p	  -319.62p	   260.36p	   10.000m	   38.408M
   1116	   56.099k	  -53.214p	  -323.75p	   270.54p	   10.000m	   36.964M
   1117	   56.100k	  -54.566p	  -311.69p	   257.12p	   10.000m	   38.892M
   1118	   56.100k	  -52.817p	  -315.56p	   262.75p	   10.000m	   38.060M
   1119	   56.100k	  -56.017p	  -327.81p	   271.80p	   10.000m	   36.792M
   1120	   56.101k	  -55.334p	  -305.03p	   249.70p	   10.000m	   40.048M
   1121	   56.101k	  -57.246p	  -311.47p	   254.22p	   10.000m	   39.336M
   1122	   56.102k	  -53.990p	  -317.88p	   263.89p	   10.000m	   37.895M
   1123	   56.102k	  -56.869p	  -316.38p	   259.51p	   10.000m	   38.535M
   1124	   56.103k	  -58.671p	  -311.81p	   253.14p	   10.000m	   39.504M
   1125	   56.103k	  -54.454p	  -311.59p	   257.14p	   10.000m	   38.889M
   1126	   56.104k	  -53.813p	  -314.03p	   260.22p	   10.000m	   38.429M
   1127	   56.104k	  -50.102p	  -313.31p	   263.21p	   10.000m	   37.992M
   1128	   56.104k	  -47.352p	  -295.59p	   248.24p	   10.000m	   40.283M
   1129	   56.105k	  -56.310p	  -318.81p	   262.50p	   10.000m	   38.095M
   1130	   56.105k	  -51.670p	  -311.87p	   260.20p	   10.000m	   38.431M
   1131	   56.106k	  -48.902p	  -309.37p	   260.47p	   10.000m	   38.392M
   1132	   56.106k	  -53.505p	  -304.31p	   250.81p	   10.000m	   39.871M
   1133	   56.107k	  -61.925p	  -297.63p	   235.70p	   10.000m	   42.427M
   1134	   56.107k	  -55.970p	  -314.34p	   258.37p	   10.000m	   38.704M
   1135	   56.107k	  -57.215p	  -309.75p	   252.54p	   10.000m	   39.598M
   1136	   56.108k	  -56.009p	  -315.47p	   259.46p	   10.000m	   38.542M
   1137	   56.108k	  -56.887p	  -315.66p	   258.77p	   10.000m	   38.644M
   1138	   56.109k	  -54.823p	  -309.87p	   255.05p	   10.000m	   39.208M
   1139	   56.109k	  -53.508p	  -305.50p	   251.99p	   10.000m	   39.684M
   1140	   56.110k	  -53.174p	  -309.44p	   256.26p	   10.000m	   39.022M
   1141	   56.110k	  -54.242p	  -302.88p	   248.63p	   10.000m	   40.220M
   1142	   56.111k	  -56.530p	  -315.97p	   259.44p	   10.000m	   38.545M
   1143	   56.111k	  -51.606p	  -307.19p	   255.58p	   10.000m	   39.127M
   1144	   56.111k	  -52.815p	  -302.22p	   249.40p	   10.000m	   40.096M
   1145	   56.112k	  -56.449p	  -323.59p	   267.14p	   10.000m	   37.433M
   1146	   56.112k	  -49.589p	  -300.47p	   250.88p	   10.000m	   39.860M
   1147	   56.113k	  -56.734p	  -310.22p	   253.49p	   10.000m	   39.450M
   1148	   56.113k	  -53.814p	  -305.69p	   251.87p	   10.000m	   39.703M
   1149	   56.114k	  -52.016p	  -308.78p	   256.77p	   10.000m	   38.946M
   1150	   56.114k	  -51.833p	  -292.91p	   241.07p	   10.000m	   41.481M
   1151	   56.114k	  -50.681p	  -309.75p	   259.07p	   10.000m	   38.600M
   1152	   56.115k	  -53.650p	  -301.06p	   247.41p	   10.000m	   40.418M
   1153	   56.115k	  -55.321p	  -305.09p	   249.77p	   10.000m	   40.036M
   1154	   56.116k	  -46.574p	  -304.25p	   257.68p	   10.000m	   38.808M
   1155	   56.116k	  -48.651p	  -298.56p	   249.91p	   10.000m	   40.014M
   1156	   56.117k	  -54.065p	  -297.34p	   243.28p	   10.000m	   41.105M
   1157	   56.117k	  -45.504p	  -293.50p	   248.00p	   10.000m	   40.323M
   1158	   56.118k	  -114.07p	  -341.06p	   226.99p	   10.000m	   44.055M
   1159	   56.118k	  -57.234p	  -303.31p	   246.08p	   10.000m	   40.637M
   1160	   56.118k	  -51.777p	  -306.56p	   254.79p	   10.000m	   39.249M
   1161	   56.119k	  -56.679p	  -295.53p	   238.85p	   10.000m	   41.867M
   1162	   56.119k	  -51.041p	  -293.72p	   242.68p	   10.000m	   41.207M
   1163	   56.120k	  -50.297p	  -299.00p	   248.70p	   10.000m	   40.209M
   1164	   56.120k	  -52.743p	  -301.59p	   248.85p	   10.000m	   40.185M
   1165	   56.121k	  -57.962p	  -303.81p	   245.85p	   10.000m	   40.675M
   1166	   56.121k	  -48.211p	  -304.31p	   256.10p	   10.000m	   39.047M
   1167	   56.121k	  -51.460p	  -308.34p	   256.88p	   10.000m	   38.928M
   1168	   56.122k	  -56.927p	  -301.53p	   244.60p	   10.000m	   40.882M
   1169	   56.122k	  -52.218p	  -295.19p	   242.97p	   10.000m	   41.157M
   1170	   56.123k	  -51.571p	  -296.38p	   244.80p	   10.000m	   40.849M
   1171	   56.123k	  -49.221p	  -303.59p	   254.37p	   10.000m	   39.312M
   1172	   56.124k	  -51.520p	  -296.56p	   245.04p	   10.000m	   40.809M
   1173	   56.124k	  -51.164p	  -296.63p	   245.46p	   10.000m	   40.740M
   1174	   56.125k	  -44.301p	  -298.41p	   254.11p	   10.000m	   39.354M
   1175	   56.125k	  -53.755p	  -303.56p	   249.81p	   10.000m	   40.031M
   1176	   56.125k	  -55.028p	  -304.13p	   249.10p	   10.000m	   40.145M
   1177	   56.126k	  -48.367p	  -297.91p	   249.54p	   10.000m	   40.074M
   1178	   56.126k	  -53.016p	  -295.72p	   242.70p	   10.000m	   41.203M
   1179	   56.127k	  -47.353p	  -298.06p	   250.71p	   10.000m	   39.887M
   1180	   56.127k	  -52.269p	  -314.34p	   262.08p	   10.000m	   38.157M
   1181	   56.128k	  -44.053p	  -297.84p	   253.79p	   10.000m	   39.403M
   1182	   56.128k	  -43.584p	  -298.97p	   255.38p	   10.000m	   39.157M
   1183	   56.128k	  -49.451p	  -307.09p	   257.64p	   10.000m	   38.813M
   1184	   56.129k	  -51.482p	  -301.13p	   249.64p	   10.000m	   40.057M
   1185	   56.129k	  -48.648p	  -298.88p	   250.23p	   10.000m	   39.964M
   1186	   56.130k	  -50.872p	  -309.41p	   258.53p	   10.000m	   38.680M
   1187	   56.130k	  -50.387p	  -302.66p	   252.27p	   10.000m	   39.640M
   1188	   56.131k	  -53.795p	  -310.31p	   256.52p	   10.000m	   38.984M
   1189	   56.131k	  -52.911p	  -320.22p	   267.31p	   10.000m	   37.410M
   1190	   56.132k	  -54.684p	  -313.34p	   258.66p	   10.000m	   38.661M
   1191	   56.132k	  -51.387p	  -311.81p	   260.43p	   10.000m	   38.399M
   1192	   56.132k	  -48.711p	  -309.06p	   260.35p	   10.000m	   38.410M
   1193	   56.133k	  -51.295p	  -312.41p	   261.11p	   10.000m	   38.298M
   1194	   56.133k	  -54.696p	  -315.28p	   260.59p	   10.000m	   38.375M
   1195	   56.134k	  -50.472p	  -306.38p	   255.90p	   10.000m	   39.077M
   1196	   56.134k	  -48.665p	  -296.81p	   248.15p	   10.000m	   40.299M
   1197	   56.135k	  -54.715p	  -313.28p	   258.57p	   10.000m	   38.675M
   1198	   56.135k	  -49.663p	  -337.91p	   288.24p	   10.000m	   34.693M
   1199	   56.135k	  -51.660p	  -350.84p	   299.18p	   10.000m	   33.424M
   1200	   56.136k	  -47.373p	  -375.19p	   327.81p	   10.000m	   30.505M
   1201	   56.136k	  -49.576p	  -372.91p	   323.33p	   10.000m	   30.928M
   1202	   56.137k	  -52.000p	  -389.69p	   337.69p	   10.000m	   29.613M
   1203	   56.137k	  -49.991p	  -381.81p	   331.82p	   10.000m	   30.137M
   1204	   56.138k	  -51.261p	  -392.00p	   340.74p	   10.000m	   29.348M
   1205	   56.138k	  -49.736p	  -380.84p	   331.11p	   10.000m	   30.202M
   1206	   56.139k	  -55.472p	  -394.38p	   338.90p	   10.000m	   29.507M
   1207	   56.139k	  -55.913p	  -393.41p	   337.49p	   10.000m	   29.630M
   1208	   56.139k	  -55.585p	  -402.75p	   347.17p	   10.000m	   28.805M
   1209	   56.140k	  -53.245p	  -394.50p	   341.25p	   10.000m	   29.304M
   1210	   56.140k	  -62.175p	  -398.59p	   336.42p	   10.000m	   29.725M
   1211	   56.141k	  -53.313p	  -402.25p	   348.94p	   10.000m	   28.658M
   1212	   56.141k	  -60.399p	  -408.34p	   347.94p	   10.000m	   28.740M
   1213	   56.142k	  -54.595p	  -403.22p	   348.62p	   10.000m	   28.684M
   1214	   56.142k	  -53.240p	  -393.37p	   340.13p	   10.000m	   29.400M
   1215	   56.142k	  -52.617p	  -403.62p	   351.01p	   10.000m	   28.489M
   1216	   56.143k	  -51.705p	  -402.72p	   351.01p	   10.000m	   28.489M
   1217	   56.143k	  -52.114p	  -405.75p	   353.64p	   10.000m	   28.278M
   1218	   56.144k	  -54.281p	  -404.38p	   350.09p	   10.000m	   28.564M
   1219	   56.144k	  -53.008p	  -400.44p	   347.43p	   10.000m	   28.783M
   1220	   56.145k	  -50.528p	  -398.56p	   348.03p	   10.000m	   28.733M
   1221	   56.145k	  -55.879p	  -407.25p	   351.37p	   10.000m	   28.460M
   1222	   56.146k	  -55.571p	  -399.19p	   343.62p	   10.000m	   29.102M
   1223	   56.146k	  -48.970p	  -398.34p	   349.37p	   10.000m	   28.623M
   1224	   56.146k	  -56.068p	  -414.87p	   358.81p	   10.000m	   27.870M
   1225	   56.147k	  -50.933p	  -400.50p	   349.57p	   10.000m	   28.607M
   1226	   56.147k	  -59.207p	  -413.00p	   353.79p	   10.000m	   28.265M
   1227	   56.148k	  -46.666p	  -400.72p	   354.05p	   10.000m	   28.244M
   1228	   56.148k	  -53.817p	  -413.47p	   359.65p	   10.000m	   27.805M
   1229	   56.149k	  -56.837p	  -407.50p	   350.66p	   10.000m	   28.517M
   1230	   56.149k	  -49.471p	  -411.34p	   361.87p	   10.000m	   27.634M
   1231	   56.149k	  -50.060p	  -406.41p	   356.35p	   10.000m	   28.063M
   1232	   56.150k	  -58.100p	  -421.25p	   363.15p	   10.000m	   27.537M
   1233	   56.150k	  -60.360p	  -415.97p	   355.61p	   10.000m	   28.121M
   1234	   56.151k	  -52.847p	  -403.00p	   350.15p	   10.000m	   28.559M
   1235	   56.151k	  -59.372p	  -410.66p	   351.28p	   10.000m	   28.467M
   1236	   56.152k	  -55.342p	  -416.97p	   361.63p	   10.000m	   27.653M
   1237	   56.152k	  -56.558p	  -410.16p	   353.60p	   10.000m	   28.281M
   1238	   56.153k	  -53.112p	  -411.72p	   358.61p	   10.000m	   27.886M
   1239	   56.153k	  -55.013p	  -418.38p	   363.36p	   10.000m	   27.521M
   1240	   56.153k	  -51.552p	  -418.22p	   366.67p	   10.000m	   27.273M
   1241	   56.154k	  -70.225p	  -403.72p	   333.49p	   10.000m	   29.986M
   1242	   56.154k	  -55.077p	  -407.88p	   352.80p	   10.000m	   28.345M
   1243	   56.155k	  -52.782p	  -418.66p	   365.87p	   10.000m	   27.332M
   1244	   56.155k	  -54.202p	  -416.22p	   362.02p	   10.000m	   27.623M
   1245	   56.156k	  -53.838p	  -408.31p	   354.47p	   10.000m	   28.211M
   1246	   56.156k	  -56.959p	  -413.69p	   356.73p	   10.000m	   28.032M
   1247	   56.156k	  -55.640p	  -411.50p	   355.86p	   10.000m	   28.101M
   1248	   56.157k	  -53.764p	  -413.69p	   359.92p	   10.000m	   27.784M
   1249	   56.157k	  -60.456p	  -412.84p	   352.39p	   10.000m	   28.378M
   1250	   56.158k	  -61.415p	  -425.16p	   363.74p	   10.000m	   27.492M
   1251	   56.158k	  -50.980p	  -402.03p	   351.05p	   10.000m	   28.486M
   1252	   56.159k	  -53.270p	  -413.59p	   360.32p	   10.000m	   27.753M
   1253	   56.159k	  -57.096p	  -408.59p	   351.50p	   10.000m	   28.450M
   1254	   56.160k	  -49.004p	  -410.06p	   361.06p	   10.000m	   27.696M
   1255	   56.160k	  -54.254p	  -406.94p	   352.68p	   10.000m	   28.354M
   1256	   56.160k	  -56.070p	  -412.41p	   356.34p	   10.000m	   28.063M
   1257	   56.161k	  -54.456p	  -408.94p	   354.48p	   10.000m	   28.210M
   1258	   56.161k	  -58.680p	  -416.22p	   357.54p	   10.000m	   27.969M
   1259	   56.162k	  -65.171p	  -424.09p	   358.92p	   10.000m	   27.861M
   1260	   56.162k	  -52.140p	  -413.56p	   361.42p	   10.000m	   27.668M
   1261	   56.163k	  -53.342p	  -403.84p	   350.50p	   10.000m	   28.531M
   1262	   56.163k	  -60.255p	  -414.66p	   354.40p	   10.000m	   28.217M
   1263	   56.163k	  -58.006p	  -416.00p	   357.99p	   10.000m	   27.933M
   1264	   56.164k	  -59.952p	  -419.44p	   359.49p	   10.000m	   27.818M
   1265	   56.164k	  -53.131p	  -421.44p	   368.31p	   10.000m	   27.151M
   1266	   56.165k	  -53.896p	  -420.22p	   366.32p	   10.000m	   27.298M
   1267	   56.165k	  -52.059p	  -420.66p	   368.60p	   10.000m	   27.130M
   1268	   56.166k	  -52.250p	  -423.00p	   370.75p	   10.000m	   26.972M
   1269	   56.166k	  -54.296p	  -414.47p	   360.17p	   10.000m	   27.764M
   1270	   56.167k	  -52.710p	  -421.81p	   369.10p	   10.000m	   27.093M
   1271	   56.167k	  -59.150p	  -422.50p	   363.35p	   10.000m	   27.522M
   1272	   56.167k	  -66.111p	  -425.12p	   359.01p	   10.000m	   27.854M
   1273	   56.168k	  -57.190p	  -429.47p	   372.28p	   10.000m	   26.862M
   1274	   56.168k	  -54.132p	  -426.84p	   372.71p	   10.000m	   26.830M
   1275	   56.169k	  -57.649p	  -430.06p	   372.41p	   10.000m	   26.852M
   1276	   56.169k	  -47.194p	  -421.50p	   374.31p	   10.000m	   26.716M
   1277	   56.170k	  -52.561p	  -422.75p	   370.19p	   10.000m	   27.013M
   1278	   56.170k	  -58.499p	  -434.25p	   375.75p	   10.000m	   26.613M
   1279	   56.170k	  -51.783p	  -429.53p	   377.75p	   10.000m	   26.473M
   1280	   56.171k	  -55.827p	  -424.09p	   368.27p	   10.000m	   27.154M
   1281	   56.171k	  -49.440p	  -434.16p	   384.72p	   10.000m	   25.993M
   1282	   56.172k	  -59.697p	  -435.75p	   376.05p	   10.000m	   26.592M
   1283	   56.172k	  -50.422p	  -434.22p	   383.80p	   10.000m	   26.055M
   1284	   56.173k	  -56.877p	  -433.47p	   376.59p	   10.000m	   26.554M
   1285	   56.173k	  -53.415p	  -435.44p	   382.02p	   10.000m	   26.176M
   1286	   56.174k	  -61.508p	  -426.34p	   364.84p	   10.000m	   27.410M
   1287	   56.174k	  -55.784p	  -435.44p	   379.65p	   10.000m	   26.340M
   1288	   56.174k	  -55.775p	  -438.25p	   382.47p	   10.000m	   26.146M
   1289	   56.175k	  -52.707p	  -439.87p	   387.17p	   10.000m	   25.829M
   1290	   56.175k	  -56.518p	  -427.56p	   371.04p	   10.000m	   26.951M
   1291	   56.176k	  -54.241p	  -429.22p	   374.98p	   10.000m	   26.668M
   1292	   56.176k	  -55.311p	  -427.91p	   372.60p	   10.000m	   26.839M
   1293	   56.177k	  -55.574p	  -431.88p	   376.30p	   10.000m	   26.575M
   1294	   56.177k	  -52.763p	  -445.37p	   392.61p	   10.000m	   25.470M
   1295	   56.177k	  -52.613p	  -466.44p	   413.82p	   10.000m	   24.165M
   1296	   56.178k	  -57.888p	  -433.50p	   375.61p	   10.000m	   26.623M
   1297	   56.178k	  -55.016p	  -435.31p	   380.30p	   10.000m	   26.295M
   1298	   56.179k	  -362.94p	  -546.28p	   183.34p	   10.000m	   54.543M
   1299	   56.179k	  -56.407p	  -445.56p	   389.16p	   10.000m	   25.697M
   1300	   56.180k	  -55.232p	  -451.66p	   396.42p	   10.000m	   25.226M
   1301	   56.180k	  -66.854p	  -458.22p	   391.36p	   10.000m	   25.552M
