17-May-2019 11:54:01


GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 17-May-2019	 11:35:58.858
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.8829p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    986	   42.360k	  -157.14p	  -984.31p	   827.17p	   10.000m	   12.089M
    987	   42.360k	  -153.49p	  -982.59p	   829.10p	   10.000m	   12.061M
    988	   42.361k	  -144.76p	  -969.22p	   824.46p	   10.000m	   12.129M
    989	   42.361k	  -146.19p	  -973.06p	   826.87p	   10.000m	   12.094M
    990	   42.361k	  -140.11p	  -981.97p	   841.86p	   10.000m	   11.878M
    991	   42.362k	  -145.01p	  -969.56p	   824.55p	   10.000m	   12.128M
    992	   42.362k	  -157.37p	  -1.0033n	   845.91p	   10.000m	   11.822M
    993	   42.363k	  -146.11p	  -980.25p	   834.14p	   10.000m	   11.988M
    994	   42.363k	  -156.96p	  -990.63p	   833.66p	   10.000m	   11.995M
    995	   42.364k	  -147.89p	  -991.66p	   843.77p	   10.000m	   11.852M
    996	   42.364k	  -148.96p	  -987.03p	   838.07p	   10.000m	   11.932M
    997	   42.365k	  -150.03p	  -996.69p	   846.66p	   10.000m	   11.811M
    998	   42.365k	  -150.00p	  -968.22p	   818.22p	   10.000m	   12.222M
    999	   42.365k	  -153.33p	  -972.28p	   818.95p	   10.000m	   12.211M
   1000	   42.366k	  -154.24p	  -977.81p	   823.57p	   10.000m	   12.142M
   1001	   42.366k	  -149.45p	  -999.69p	   850.23p	   10.000m	   11.761M
   1002	   42.367k	  -151.19p	  -975.94p	   824.74p	   10.000m	   12.125M
   1003	   42.367k	  -144.75p	  -996.63p	   851.88p	   10.000m	   11.739M
   1004	   42.368k	  -144.03p	  -969.38p	   825.34p	   10.000m	   12.116M
   1005	   42.368k	  -140.37p	  -983.31p	   842.94p	   10.000m	   11.863M
   1006	   42.368k	  -141.82p	  -974.06p	   832.25p	   10.000m	   12.016M
   1007	   42.369k	  -148.25p	  -1.0041n	   855.87p	   10.000m	   11.684M
   1008	   42.369k	  -156.93p	  -986.75p	   829.82p	   10.000m	   12.051M
   1009	   42.370k	  -144.11p	  -967.16p	   823.04p	   10.000m	   12.150M
   1010	   42.370k	  -145.98p	  -972.50p	   826.52p	   10.000m	   12.099M
   1011	   42.371k	  -142.38p	  -975.97p	   833.59p	   10.000m	   11.996M
   1012	   42.371k	  -146.33p	  -987.47p	   841.14p	   10.000m	   11.889M
   1013	   42.372k	  -142.54p	  -1.0240n	   881.46p	   10.000m	   11.345M
   1014	   42.372k	  -152.39p	  -972.22p	   819.83p	   10.000m	   12.198M
   1015	   42.372k	  -153.82p	  -971.91p	   818.08p	   10.000m	   12.224M
   1016	   42.373k	  -149.99p	  -978.81p	   828.83p	   10.000m	   12.065M
   1017	   42.373k	  -147.14p	  -973.22p	   826.08p	   10.000m	   12.105M
   1018	   42.374k	  -149.45p	  -983.66p	   834.21p	   10.000m	   11.987M
   1019	   42.374k	  -151.57p	  -982.19p	   830.62p	   10.000m	   12.039M
   1020	   42.375k	  -148.05p	  -984.47p	   836.42p	   10.000m	   11.956M
   1021	   42.375k	  -144.81p	  -976.37p	   831.57p	   10.000m	   12.025M
   1022	   42.375k	  -149.51p	  -971.22p	   821.71p	   10.000m	   12.170M
   1023	   42.376k	  -151.32p	  -979.19p	   827.87p	   10.000m	   12.079M
   1024	   42.376k	  -148.15p	  -980.72p	   832.57p	   10.000m	   12.011M
   1025	   42.377k	  -150.78p	  -984.81p	   834.03p	   10.000m	   11.990M
   1026	   42.377k	  -154.90p	  -972.84p	   817.95p	   10.000m	   12.226M
   1027	   42.378k	  -147.32p	  -983.69p	   836.37p	   10.000m	   11.956M
   1028	   42.378k	  -147.16p	  -962.47p	   815.31p	   10.000m	   12.265M
   1029	   42.379k	  -146.41p	  -973.31p	   826.90p	   10.000m	   12.093M
   1030	   42.379k	  -146.48p	  -984.16p	   837.68p	   10.000m	   11.938M
   1031	   42.379k	  -146.74p	  -968.87p	   822.14p	   10.000m	   12.163M
   1032	   42.380k	  -145.70p	  -964.56p	   818.87p	   10.000m	   12.212M
   1033	   42.380k	  -142.32p	  -966.59p	   824.27p	   10.000m	   12.132M
   1034	   42.381k	  -151.54p	  -967.22p	   815.68p	   10.000m	   12.260M
   1035	   42.381k	  -148.31p	  -978.19p	   829.88p	   10.000m	   12.050M
   1036	   42.382k	  -150.15p	  -989.63p	   839.47p	   10.000m	   11.912M
   1037	   42.382k	  -151.10p	  -988.03p	   836.93p	   10.000m	   11.948M
   1038	   42.382k	  -142.67p	  -966.44p	   823.77p	   10.000m	   12.139M
   1039	   42.383k	  -153.37p	  -974.66p	   821.29p	   10.000m	   12.176M
   1040	   42.383k	  -143.64p	  -957.25p	   813.61p	   10.000m	   12.291M
   1041	   42.384k	  -142.59p	  -964.28p	   821.69p	   10.000m	   12.170M
   1042	   42.384k	  -146.42p	  -970.00p	   823.58p	   10.000m	   12.142M
   1043	   42.385k	  -145.71p	  -967.72p	   822.01p	   10.000m	   12.165M
   1044	   42.385k	  -145.52p	  -984.41p	   838.89p	   10.000m	   11.921M
   1045	   42.386k	  -150.57p	  -977.03p	   826.46p	   10.000m	   12.100M
   1046	   42.386k	  -161.47p	  -972.06p	   810.60p	   10.000m	   12.337M
   1047	   42.386k	  -149.24p	  -965.06p	   815.82p	   10.000m	   12.258M
   1048	   42.387k	  -147.10p	  -961.28p	   814.18p	   10.000m	   12.282M
   1049	   42.387k	  -145.95p	  -968.28p	   822.33p	   10.000m	   12.161M
   1050	   42.388k	  -144.92p	  -964.66p	   819.73p	   10.000m	   12.199M
   1051	   42.388k	  -153.05p	  -960.63p	   807.57p	   10.000m	   12.383M
   1052	   42.389k	  -144.02p	  -957.19p	   813.17p	   10.000m	   12.298M
   1053	   42.389k	  -146.88p	  -975.72p	   828.84p	   10.000m	   12.065M
   1054	   42.389k	  -155.02p	  -970.16p	   815.14p	   10.000m	   12.268M
   1055	   42.390k	  -146.47p	  -968.62p	   822.15p	   10.000m	   12.163M
   1056	   42.390k	  -146.77p	  -960.88p	   814.11p	   10.000m	   12.283M
   1057	   42.391k	  -148.02p	  -976.37p	   828.35p	   10.000m	   12.072M
   1058	   42.391k	  -147.88p	  -968.87p	   821.00p	   10.000m	   12.180M
   1059	   42.392k	  -146.66p	  -956.41p	   809.74p	   10.000m	   12.350M
   1060	   42.392k	  -146.10p	  -966.50p	   820.40p	   10.000m	   12.189M
   1061	   42.393k	  -147.66p	  -966.12p	   818.47p	   10.000m	   12.218M
   1062	   42.393k	  -146.96p	  -966.78p	   819.82p	   10.000m	   12.198M
   1063	   42.393k	  -145.20p	  -956.75p	   811.55p	   10.000m	   12.322M
   1064	   42.394k	  -149.55p	  -953.62p	   804.08p	   10.000m	   12.437M
   1065	   42.394k	  -146.26p	  -966.22p	   819.96p	   10.000m	   12.196M
   1066	   42.395k	  -150.20p	  -960.22p	   810.02p	   10.000m	   12.345M
   1067	   42.395k	  -147.74p	  -967.41p	   819.67p	   10.000m	   12.200M
   1068	   42.396k	  -147.81p	  -975.12p	   827.32p	   10.000m	   12.087M
   1069	   42.396k	  -148.33p	  -979.59p	   831.26p	   10.000m	   12.030M
   1070	   42.396k	  -149.28p	  -976.41p	   827.13p	   10.000m	   12.090M
   1071	   42.397k	  -149.56p	  -993.94p	   844.38p	   10.000m	   11.843M
   1072	   42.397k	  -152.71p	  -965.88p	   813.16p	   10.000m	   12.298M
   1073	   42.398k	  -145.66p	  -966.63p	   820.96p	   10.000m	   12.181M
   1074	   42.398k	  -149.82p	  -987.16p	   837.34p	   10.000m	   11.943M
   1075	   42.399k	  -151.38p	  -959.34p	   807.96p	   10.000m	   12.377M
   1076	   42.399k	  -155.45p	  -974.41p	   818.95p	   10.000m	   12.211M
   1077	   42.400k	  -154.99p	  -965.63p	   810.63p	   10.000m	   12.336M
   1078	   42.400k	  -160.36p	  -963.59p	   803.24p	   10.000m	   12.450M
   1079	   42.400k	  -154.69p	  -964.66p	   809.97p	   10.000m	   12.346M
   1080	   42.401k	  -142.69p	  -962.16p	   819.46p	   10.000m	   12.203M
   1081	   42.401k	  -151.18p	  -970.38p	   819.19p	   10.000m	   12.207M
   1082	   42.402k	  -148.91p	  -963.50p	   814.59p	   10.000m	   12.276M
   1083	   42.402k	  -146.58p	  -982.28p	   835.70p	   10.000m	   11.966M
   1084	   42.403k	  -144.93p	  -962.50p	   817.57p	   10.000m	   12.231M
   1085	   42.403k	  -148.18p	  -967.09p	   818.91p	   10.000m	   12.211M
   1086	   42.403k	  -146.45p	  -970.59p	   824.15p	   10.000m	   12.134M
   1087	   42.404k	  -155.62p	  -963.22p	   807.60p	   10.000m	   12.382M
   1088	   42.404k	  -150.49p	  -961.25p	   810.76p	   10.000m	   12.334M
   1089	   42.405k	  -149.12p	  -959.28p	   810.16p	   10.000m	   12.343M
   1090	   42.405k	  -143.35p	  -956.25p	   812.90p	   10.000m	   12.302M
   1091	   42.406k	  -157.68p	  -961.50p	   803.82p	   10.000m	   12.441M
   1092	   42.406k	  -147.71p	  -962.19p	   814.48p	   10.000m	   12.278M
   1093	   42.407k	  -150.36p	  -966.66p	   816.30p	   10.000m	   12.250M
   1094	   42.407k	  -144.37p	  -959.03p	   814.66p	   10.000m	   12.275M
   1095	   42.407k	  -152.37p	  -978.59p	   826.22p	   10.000m	   12.103M
   1096	   42.408k	  -146.53p	  -955.72p	   809.19p	   10.000m	   12.358M
   1097	   42.408k	  -160.88p	  -963.56p	   802.69p	   10.000m	   12.458M
   1098	   42.409k	  -150.56p	  -964.16p	   813.59p	   10.000m	   12.291M
   1099	   42.409k	  -153.94p	  -1.0031n	   849.16p	   10.000m	   11.776M
   1100	   42.410k	  -151.47p	  -972.50p	   821.03p	   10.000m	   12.180M
   1101	   42.410k	  -144.99p	  -963.31p	   818.32p	   10.000m	   12.220M
   1102	   42.410k	  -154.49p	  -969.53p	   815.05p	   10.000m	   12.269M
   1103	   42.411k	  -160.43p	  -963.94p	   803.50p	   10.000m	   12.445M
   1104	   42.411k	  -150.33p	  -999.56p	   849.23p	   10.000m	   11.775M
   1105	   42.412k	  -150.09p	  -957.53p	   807.45p	   10.000m	   12.385M
   1106	   42.412k	  -152.38p	  -952.94p	   800.55p	   10.000m	   12.491M
   1107	   42.413k	  -144.15p	  -961.66p	   817.51p	   10.000m	   12.232M
   1108	   42.413k	  -155.83p	  -987.69p	   831.86p	   10.000m	   12.021M
   1109	   42.414k	  -151.54p	  -970.34p	   818.80p	   10.000m	   12.213M
   1110	   42.414k	  -150.59p	  -979.09p	   828.51p	   10.000m	   12.070M
   1111	   42.414k	  -150.68p	  -978.09p	   827.41p	   10.000m	   12.086M
   1112	   42.415k	  -157.49p	  -993.84p	   836.35p	   10.000m	   11.957M
   1113	   42.415k	  -159.96p	  -985.03p	   825.07p	   10.000m	   12.120M
   1114	   42.416k	  -151.11p	  -965.88p	   814.76p	   10.000m	   12.273M
   1115	   42.416k	  -152.95p	  -994.44p	   841.49p	   10.000m	   11.884M
   1116	   42.417k	  -143.66p	  -1.0240n	   880.34p	   10.000m	   11.359M
   1117	   42.417k	  -148.85p	  -972.78p	   823.93p	   10.000m	   12.137M
   1118	   42.417k	  -158.25p	  -993.06p	   834.82p	   10.000m	   11.979M
   1119	   42.418k	  -167.51p	  -976.44p	   808.92p	   10.000m	   12.362M
   1120	   42.418k	  -155.58p	  -989.81p	   834.23p	   10.000m	   11.987M
   1121	   42.419k	  -161.64p	  -1.0005n	   838.83p	   10.000m	   11.921M
   1122	   42.419k	  -161.12p	  -974.44p	   813.32p	   10.000m	   12.295M
   1123	   42.420k	  -163.80p	  -1.0022n	   838.39p	   10.000m	   11.928M
   1124	   42.420k	  -164.08p	  -980.28p	   816.20p	   10.000m	   12.252M
   1125	   42.421k	  -164.71p	  -1.0016n	   836.85p	   10.000m	   11.950M
   1126	   42.421k	  -161.41p	  -985.47p	   824.06p	   10.000m	   12.135M
   1127	   42.421k	  -172.20p	  -992.37p	   820.18p	   10.000m	   12.192M
   1128	   42.422k	  -172.93p	  -988.03p	   815.10p	   10.000m	   12.268M
   1129	   42.422k	  -158.55p	  -975.91p	   817.35p	   10.000m	   12.235M
   1130	   42.423k	  -162.45p	  -986.06p	   823.61p	   10.000m	   12.142M
   1131	   42.423k	  -156.44p	  -966.78p	   810.34p	   10.000m	   12.341M
   1132	   42.424k	  -165.02p	  -983.50p	   818.48p	   10.000m	   12.218M
   1133	   42.424k	  -156.36p	  -981.78p	   825.42p	   10.000m	   12.115M
   1134	   42.424k	  -157.91p	  -988.22p	   830.31p	   10.000m	   12.044M
   1135	   42.425k	  -151.06p	  -965.28p	   814.22p	   10.000m	   12.282M
   1136	   42.425k	  -164.03p	  -975.66p	   811.62p	   10.000m	   12.321M
   1137	   42.426k	  -162.78p	  -996.22p	   833.44p	   10.000m	   11.998M
   1138	   42.426k	  -174.53p	  -982.78p	   808.25p	   10.000m	   12.372M
   1139	   42.427k	  -182.63p	  -976.84p	   794.21p	   10.000m	   12.591M
   1140	   42.427k	  -167.69p	  -983.34p	   815.65p	   10.000m	   12.260M
   1141	   42.428k	  -161.21p	  -1.0110n	   849.79p	   10.000m	   11.768M
   1142	   42.428k	  -173.82p	  -1.0031n	   829.24p	   10.000m	   12.059M
   1143	   42.428k	  -155.66p	  -979.75p	   824.09p	   10.000m	   12.135M
   1144	   42.429k	  -167.76p	  -986.94p	   819.17p	   10.000m	   12.207M
   1145	   42.429k	  -164.09p	  -979.00p	   814.91p	   10.000m	   12.271M
   1146	   42.430k	  -170.41p	  -962.88p	   792.46p	   10.000m	   12.619M
   1147	   42.430k	  -163.06p	  -976.31p	   813.26p	   10.000m	   12.296M
   1148	   42.431k	  -167.13p	  -982.62p	   815.49p	   10.000m	   12.263M
   1149	   42.431k	  -162.70p	  -992.94p	   830.24p	   10.000m	   12.045M
   1150	   42.431k	  -176.02p	  -991.78p	   815.76p	   10.000m	   12.259M
   1151	   42.432k	  -169.43p	  -979.63p	   810.19p	   10.000m	   12.343M
   1152	   42.432k	  -175.50p	  -995.81p	   820.31p	   10.000m	   12.191M
   1153	   42.433k	  -179.09p	  -995.72p	   816.63p	   10.000m	   12.246M
   1154	   42.433k	  -178.31p	  -999.50p	   821.19p	   10.000m	   12.177M
   1155	   42.434k	  -160.87p	  -988.59p	   827.73p	   10.000m	   12.081M
   1156	   42.434k	  -157.02p	  -978.75p	   821.73p	   10.000m	   12.169M
   1157	   42.435k	  -171.57p	  -988.03p	   816.46p	   10.000m	   12.248M
   1158	   42.435k	  -167.31p	  -980.84p	   813.53p	   10.000m	   12.292M
   1159	   42.435k	  -176.29p	  -986.56p	   810.27p	   10.000m	   12.342M
   1160	   42.436k	  -194.00p	  -1.0240n	   830.00p	   10.000m	   12.048M
   1161	   42.436k	  -183.93p	  -976.72p	   792.79p	   10.000m	   12.614M
   1162	   42.437k	  -170.99p	  -1.0056n	   834.57p	   10.000m	   11.982M
   1163	   42.437k	  -158.20p	  -974.63p	   816.42p	   10.000m	   12.249M
   1164	   42.438k	  -172.36p	  -980.12p	   807.76p	   10.000m	   12.380M
   1165	   42.438k	  -185.72p	  -997.84p	   812.13p	   10.000m	   12.313M
   1166	   42.438k	  -174.96p	  -977.75p	   802.79p	   10.000m	   12.457M
   1167	   42.439k	  -163.35p	  -970.81p	   807.46p	   10.000m	   12.385M
   1168	   42.439k	  -163.08p	  -994.72p	   831.64p	   10.000m	   12.024M
   1169	   42.440k	  -161.53p	  -983.22p	   821.69p	   10.000m	   12.170M
   1170	   42.440k	  -174.76p	  -986.69p	   811.93p	   10.000m	   12.316M
   1171	   42.441k	  -169.21p	  -1.0053n	   836.10p	   10.000m	   11.960M
   1172	   42.441k	  -168.27p	  -978.03p	   809.76p	   10.000m	   12.349M
   1173	   42.442k	  -161.90p	  -983.00p	   821.10p	   10.000m	   12.179M
   1174	   42.442k	  -169.14p	  -1.0028n	   833.71p	   10.000m	   11.995M
   1175	   42.442k	  -161.58p	  -981.59p	   820.01p	   10.000m	   12.195M
   1176	   42.443k	  -155.65p	  -975.91p	   820.25p	   10.000m	   12.191M
   1177	   42.443k	  -172.11p	  -990.69p	   818.58p	   10.000m	   12.216M
   1178	   42.444k	  -179.30p	  -968.59p	   789.29p	   10.000m	   12.670M
   1179	   42.444k	  -163.04p	  -969.00p	   805.96p	   10.000m	   12.408M
   1180	   42.445k	  -161.34p	  -985.88p	   824.53p	   10.000m	   12.128M
   1181	   42.445k	  -159.35p	  -975.53p	   816.18p	   10.000m	   12.252M
   1182	   42.445k	  -159.95p	  -973.28p	   813.33p	   10.000m	   12.295M
   1183	   42.446k	  -153.17p	  -976.59p	   823.42p	   10.000m	   12.144M
   1184	   42.446k	  -173.81p	  -986.56p	   812.76p	   10.000m	   12.304M
   1185	   42.447k	  -160.47p	  -984.28p	   823.81p	   10.000m	   12.139M
   1186	   42.447k	  -158.18p	  -965.78p	   807.60p	   10.000m	   12.382M
   1187	   42.448k	  -169.60p	  -973.13p	   803.52p	   10.000m	   12.445M
   1188	   42.448k	  -154.86p	  -982.16p	   827.30p	   10.000m	   12.088M
   1189	   42.449k	  -159.44p	  -992.37p	   832.93p	   10.000m	   12.006M
   1190	   42.449k	  -154.56p	  -977.25p	   822.69p	   10.000m	   12.155M
   1191	   42.449k	  -165.52p	  -983.31p	   817.79p	   10.000m	   12.228M
   1192	   42.450k	  -159.27p	  -984.53p	   825.26p	   10.000m	   12.117M
   1193	   42.450k	  -160.19p	  -1.0140n	   853.77p	   10.000m	   11.713M
   1194	   42.451k	  -161.31p	  -984.47p	   823.15p	   10.000m	   12.148M
   1195	   42.451k	  -159.65p	  -974.44p	   814.78p	   10.000m	   12.273M
   1196	   42.452k	  -164.84p	  -973.91p	   809.07p	   10.000m	   12.360M
   1197	   42.452k	  -162.16p	  -976.47p	   814.31p	   10.000m	   12.280M
   1198	   42.452k	  -162.75p	  -991.44p	   828.68p	   10.000m	   12.067M
   1199	   42.453k	  -169.72p	  -1.0081n	   838.37p	   10.000m	   11.928M
   1200	   42.453k	  -162.30p	  -977.34p	   815.04p	   10.000m	   12.269M
   1201	   42.454k	  -170.21p	  -969.19p	   798.98p	   10.000m	   12.516M
   1202	   42.454k	  -156.84p	  -971.12p	   814.29p	   10.000m	   12.281M
   1203	   42.455k	  -164.42p	  -973.41p	   808.99p	   10.000m	   12.361M
   1204	   42.455k	  -153.62p	  -961.34p	   807.72p	   10.000m	   12.380M
   1205	   42.456k	  -170.19p	  -979.84p	   809.66p	   10.000m	   12.351M
   1206	   42.456k	  -164.56p	  -971.47p	   806.90p	   10.000m	   12.393M
   1207	   42.456k	  -165.18p	  -988.28p	   823.10p	   10.000m	   12.149M
   1208	   42.457k	  -177.41p	  -974.63p	   797.21p	   10.000m	   12.544M
   1209	   42.457k	  -178.37p	  -998.66p	   820.28p	   10.000m	   12.191M
   1210	   42.458k	  -160.75p	  -976.06p	   815.32p	   10.000m	   12.265M
   1211	   42.458k	  -159.56p	  -969.28p	   809.72p	   10.000m	   12.350M
   1212	   42.459k	  -161.97p	  -985.47p	   823.50p	   10.000m	   12.143M
   1213	   42.459k	  -164.61p	  -974.94p	   810.32p	   10.000m	   12.341M
   1214	   42.459k	  -151.34p	  -976.47p	   825.13p	   10.000m	   12.119M
   1215	   42.460k	  -159.33p	  -959.66p	   800.33p	   10.000m	   12.495M
   1216	   42.460k	  -161.53p	  -975.00p	   813.47p	   10.000m	   12.293M
   1217	   42.461k	  -161.37p	  -962.28p	   800.91p	   10.000m	   12.486M
   1218	   42.461k	  -167.63p	  -986.88p	   819.25p	   10.000m	   12.206M
   1219	   42.462k	  -167.98p	  -984.50p	   816.52p	   10.000m	   12.247M
   1220	   42.462k	  -149.67p	  -978.53p	   828.86p	   10.000m	   12.065M
   1221	   42.463k	  -160.25p	  -985.03p	   824.78p	   10.000m	   12.124M
   1222	   42.463k	  -158.94p	  -975.47p	   816.53p	   10.000m	   12.247M
   1223	   42.463k	  -158.55p	  -982.13p	   823.57p	   10.000m	   12.142M
   1224	   42.464k	  -157.53p	  -965.75p	   808.22p	   10.000m	   12.373M
   1225	   42.464k	  -156.88p	  -961.50p	   804.62p	   10.000m	   12.428M
   1226	   42.465k	  -166.63p	  -980.97p	   814.34p	   10.000m	   12.280M
   1227	   42.465k	  -160.70p	  -978.22p	   817.52p	   10.000m	   12.232M
   1228	   42.466k	  -164.85p	  -983.41p	   818.56p	   10.000m	   12.217M
   1229	   42.466k	  -154.23p	  -984.53p	   830.31p	   10.000m	   12.044M
   1230	   42.466k	  -163.94p	  -980.16p	   816.21p	   10.000m	   12.252M
   1231	   42.467k	  -169.70p	  -1.0021n	   832.39p	   10.000m	   12.014M
   1232	   42.467k	  -162.27p	  -976.25p	   813.98p	   10.000m	   12.285M
   1233	   42.468k	  -153.45p	  -959.16p	   805.70p	   10.000m	   12.412M
   1234	   42.468k	  -165.25p	  -977.59p	   812.34p	   10.000m	   12.310M
   1235	   42.469k	  -165.94p	  -985.78p	   819.85p	   10.000m	   12.197M
   1236	   42.469k	  -154.48p	  -965.94p	   811.46p	   10.000m	   12.323M
   1237	   42.470k	  -155.17p	  -954.13p	   798.95p	   10.000m	   12.516M
   1238	   42.470k	  -146.68p	  -964.31p	   817.63p	   10.000m	   12.230M
   1239	   42.470k	  -158.54p	  -976.75p	   818.21p	   10.000m	   12.222M
   1240	   42.471k	  -147.26p	  -959.87p	   812.62p	   10.000m	   12.306M
   1241	   42.471k	  -160.81p	  -965.53p	   804.72p	   10.000m	   12.427M
   1242	   42.472k	  -159.72p	  -963.47p	   803.75p	   10.000m	   12.442M
   1243	   42.472k	  -160.31p	  -973.87p	   813.57p	   10.000m	   12.292M
   1244	   42.473k	  -152.53p	  -958.91p	   806.38p	   10.000m	   12.401M
   1245	   42.473k	  -153.67p	  -954.00p	   800.33p	   10.000m	   12.495M
   1246	   42.473k	  -165.51p	  -986.19p	   820.68p	   10.000m	   12.185M
   1247	   42.474k	  -162.38p	  -999.41p	   837.03p	   10.000m	   11.947M
   1248	   42.474k	  -159.86p	  -956.00p	   796.14p	   10.000m	   12.561M
   1249	   42.475k	  -155.94p	  -958.19p	   802.25p	   10.000m	   12.465M
   1250	   42.475k	  -156.90p	  -987.25p	   830.35p	   10.000m	   12.043M
   1251	   42.476k	  -159.31p	  -964.34p	   805.03p	   10.000m	   12.422M
   1252	   42.476k	  -156.39p	  -959.91p	   803.52p	   10.000m	   12.445M
   1253	   42.477k	  -151.39p	  -964.00p	   812.61p	   10.000m	   12.306M
   1254	   42.477k	  -159.86p	  -973.91p	   814.04p	   10.000m	   12.284M
   1255	   42.477k	  -159.53p	  -964.03p	   804.50p	   10.000m	   12.430M
   1256	   42.478k	  -154.90p	  -973.72p	   818.82p	   10.000m	   12.213M
   1257	   42.478k	  -162.12p	  -997.34p	   835.22p	   10.000m	   11.973M
   1258	   42.479k	  -151.79p	  -962.37p	   810.58p	   10.000m	   12.337M
   1259	   42.479k	  -155.90p	  -963.00p	   807.10p	   10.000m	   12.390M
   1260	   42.480k	  -152.18p	  -965.97p	   813.79p	   10.000m	   12.288M
   1261	   42.480k	  -149.06p	  -961.44p	   812.38p	   10.000m	   12.310M
   1262	   42.480k	  -150.70p	  -956.94p	   806.24p	   10.000m	   12.403M
   1263	   42.481k	  -149.48p	  -961.03p	   811.55p	   10.000m	   12.322M
   1264	   42.481k	  -152.27p	  -956.78p	   804.51p	   10.000m	   12.430M
   1265	   42.482k	  -150.83p	  -964.53p	   813.70p	   10.000m	   12.290M
   1266	   42.482k	  -148.79p	  -960.38p	   811.58p	   10.000m	   12.322M
   1267	   42.483k	  -151.60p	  -953.53p	   801.93p	   10.000m	   12.470M
   1268	   42.483k	  -148.91p	  -961.84p	   812.93p	   10.000m	   12.301M
   1269	   42.484k	  -161.60p	  -965.41p	   803.81p	   10.000m	   12.441M
   1270	   42.484k	  -160.03p	  -969.91p	   809.88p	   10.000m	   12.348M
   1271	   42.484k	  -157.67p	  -966.72p	   809.05p	   10.000m	   12.360M
   1272	   42.485k	  -152.28p	  -951.31p	   799.03p	   10.000m	   12.515M
   1273	   42.485k	  -145.23p	  -950.28p	   805.05p	   10.000m	   12.422M
   1274	   42.486k	  -159.07p	  -956.97p	   797.90p	   10.000m	   12.533M
   1275	   42.486k	  -152.18p	  -981.19p	   829.00p	   10.000m	   12.063M
   1276	   42.487k	  -147.52p	  -964.34p	   816.82p	   10.000m	   12.243M
   1277	   42.487k	  -153.82p	  -959.47p	   805.65p	   10.000m	   12.412M
   1278	   42.487k	  -145.18p	  -951.88p	   806.70p	   10.000m	   12.396M
   1279	   42.488k	  -154.89p	  -952.41p	   797.52p	   10.000m	   12.539M
   1280	   42.488k	  -157.04p	  -963.91p	   806.86p	   10.000m	   12.394M
   1281	   42.489k	  -150.30p	  -946.81p	   796.51p	   10.000m	   12.555M
   1282	   42.489k	  -152.24p	  -976.91p	   824.67p	   10.000m	   12.126M
   1283	   42.490k	  -148.70p	  -948.94p	   800.24p	   10.000m	   12.496M
   1284	   42.490k	  -151.54p	  -943.53p	   791.99p	   10.000m	   12.626M
   1285	   42.491k	  -157.36p	  -974.09p	   816.73p	   10.000m	   12.244M
   1286	   42.491k	  -158.57p	  -965.84p	   807.27p	   10.000m	   12.387M
   1287	   42.491k	  -162.84p	  -957.69p	   794.85p	   10.000m	   12.581M
   1288	   42.492k	  -155.01p	  -955.06p	   800.05p	   10.000m	   12.499M
   1289	   42.492k	  -151.98p	  -963.84p	   811.87p	   10.000m	   12.317M
   1290	   42.493k	  -148.66p	  -967.03p	   818.38p	   10.000m	   12.219M
   1291	   42.493k	  -156.79p	  -942.44p	   785.65p	   10.000m	   12.728M
   1292	   42.494k	  -149.99p	  -952.78p	   802.79p	   10.000m	   12.457M
   1293	   42.494k	  -154.91p	  -957.69p	   802.78p	   10.000m	   12.457M
   1294	   42.494k	  -164.32p	  -947.50p	   783.18p	   10.000m	   12.769M
   1295	   42.495k	  -159.13p	  -961.84p	   802.71p	   10.000m	   12.458M
   1296	   42.495k	  -157.34p	  -962.06p	   804.73p	   10.000m	   12.427M
   1297	   42.496k	  -152.34p	  -964.91p	   812.57p	   10.000m	   12.307M
   1298	   42.496k	  -159.78p	  -957.56p	   797.78p	   10.000m	   12.535M
   1299	   42.497k	  -148.49p	  -947.69p	   799.20p	   10.000m	   12.512M
   1300	   42.497k	  -149.94p	  -950.72p	   800.78p	   10.000m	   12.488M
   1301	   42.498k	  -151.08p	  -950.81p	   799.73p	   10.000m	   12.504M
   1302	   42.498k	  -153.26p	  -949.00p	   795.74p	   10.000m	   12.567M
   1303	   42.498k	  -154.51p	  -957.66p	   803.15p	   10.000m	   12.451M
   1304	   42.499k	  -147.31p	  -946.31p	   799.00p	   10.000m	   12.516M
   1305	   42.499k	  -156.70p	  -954.59p	   797.89p	   10.000m	   12.533M
   1306	   42.500k	  -147.91p	  -965.56p	   817.66p	   10.000m	   12.230M
   1307	   42.500k	  -151.92p	  -956.44p	   804.51p	   10.000m	   12.430M
   1308	   42.501k	  -172.06p	  -955.81p	   783.75p	   10.000m	   12.759M
   1309	   42.501k	  -150.12p	  -942.88p	   792.75p	   10.000m	   12.614M
   1310	   42.501k	  -152.93p	  -955.72p	   802.79p	   10.000m	   12.457M
   1311	   42.502k	  -155.25p	  -951.47p	   796.22p	   10.000m	   12.559M
   1312	   42.502k	  -180.33p	  -956.06p	   775.73p	   10.000m	   12.891M
   1313	   42.503k	  -154.79p	  -951.88p	   797.09p	   10.000m	   12.546M
